"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_sd","contraction","scenario","replicate","method","group"
"recruitment_slope_20",1.5,1.52010761524344,0.0361248154591018,1.45047369359978,1.51831435123354,1.59208795819026,TRUE,0.556615030081166,1,0.963875184540898,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruitment"
"recruit_mean_80",44.6,44.7669076423491,0.220418560109412,44.3621829822866,44.769395131299,45.1857514947715,TRUE,0.757230435886559,10,0.977958143989059,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruit_size"
"recruit_mean_slope_20",0.4,0.36245275244241,0.082112216892702,0.200875904972315,0.360878146170105,0.513529802979757,TRUE,-0.457267492931706,2,0.958943891553649,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruit_size"
"log_recruit_sd",1.25276296849537,1.27065250117775,0.0111117119716521,1.24893053177248,1.27049495832166,1.291422417378,TRUE,1.60997087829704,0.7,0.984126125754783,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruit_size"
"log_process_precision",NA,7.29306485519024,1.07912538098904,5.24933904689563,7.26462485357445,9.388017921843,NA,NA,2,0.460437309505482,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","process"
"survival_at_80",0.36,0.34836773677622,0.0431526370209907,0.266131180527354,0.348624949753754,0.440332013100222,TRUE,-0.269560889595728,1.5,0.97123157531934,"parent_excitation_dense",1,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.639652981611597,0.0269638604714285,0.586884908285395,0.639769102822826,0.690973543841393,TRUE,-0.01286975908998,1,0.973036139528571,"parent_excitation_dense",1,"one_step_gamma_poisson","survival"
"growth_increment_80",8.4,8.31943998618997,0.0799625966316971,8.16462090124439,8.31891761305518,8.47162922998258,TRUE,-1.00747120783344,6,0.986672900561384,"parent_excitation_dense",1,"one_step_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.38587335889998,0.0455348178909809,-2.46861257224418,-2.38425883113631,-2.2943080744134,TRUE,0.310238225479245,3,0.984821727369673,"parent_excitation_dense",1,"one_step_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.45328948681527,0.016871752237659,1.41964327983136,1.4525114925415,1.4870481317527,FALSE,-3.01023327308262,0.7,0.975897496803344,"parent_excitation_dense",1,"one_step_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.6853309725669,0.0303619317201121,-1.74358357965345,-1.68511800746123,-1.62800864536108,TRUE,0.257434476340273,1.5,0.979758712186592,"parent_excitation_dense",1,"one_step_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,1.4989649829762,0.0115274561218292,1.47713824332274,1.49933314839353,1.52058965019834,TRUE,-0.0897871145947571,1,0.988472543878171,"parent_excitation_dense",1,"one_step_gamma_poisson","recruitment"
"recruit_mean_80",44.6,44.5673558077922,0.111854365569777,44.3512122800492,44.5687342495067,44.7734027576963,TRUE,-0.291845490710715,10,0.988814563443022,"parent_excitation_dense",1,"one_step_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.422656446074934,0.0424124756403118,0.342761800279316,0.421643214541475,0.5048260035783,TRUE,0.534192964048526,2,0.978793762179844,"parent_excitation_dense",1,"one_step_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.24968170880832,0.00594330342950043,1.23737396490434,1.24965241196867,1.26123058661352,TRUE,-0.518442264238986,0.7,0.991509566529285,"parent_excitation_dense",1,"one_step_gamma_poisson","recruit_size"
"log_process_precision",NA,7.65172004108125,0.604971892135099,6.48344354665818,7.65042030908563,8.83922754128449,NA,NA,2,0.69751405393245,"parent_excitation_dense",1,"one_step_gamma_poisson","process"
"survival_at_80",0.36,0.338221196966165,0.0206509748855498,0.294439211140915,0.337725644372569,0.375980648806676,TRUE,-1.05461379690477,1.5,0.986232683409633,"parent_excitation_dense",1,"one_step_finite_population","survival"
"survival_slope_20",0.64,0.641883376376331,0.0130286777970648,0.618283464588909,0.641759146892819,0.668752441268992,TRUE,0.144556217113216,1,0.986971322202935,"parent_excitation_dense",1,"one_step_finite_population","survival"
"growth_increment_80",8.4,8.36068203621944,0.0686024952874128,8.22807096397152,8.36052731543788,8.4968694013529,TRUE,-0.573127312874543,6,0.988566250785431,"parent_excitation_dense",1,"one_step_finite_population","growth"
"growth_slope_20",-2.4,-2.3992891668375,0.0345636627340799,-2.46620502121326,-2.39947039912619,-2.33429515671501,TRUE,0.0205659095786772,3,0.98847877908864,"parent_excitation_dense",1,"one_step_finite_population","growth"
"log_growth_sd",1.50407739677627,1.44279914629733,0.0160696892379756,1.41146367817771,1.44235884610248,1.47451899144544,FALSE,-3.81328161182697,0.7,0.977043301088606,"parent_excitation_dense",1,"one_step_finite_population","growth"
"log_recruitment_at_80",-1.69314718055995,-1.71310282427198,0.0418377754332036,-1.7983211818618,-1.71338680011496,-1.63890478442068,TRUE,-0.476976691647835,1.5,0.972108149711198,"parent_excitation_dense",1,"one_step_finite_population","recruitment"
"recruitment_slope_20",1.5,1.51075506270719,0.0191155231693275,1.47296230836476,1.51098520289927,1.54759175517407,TRUE,0.562635017201275,1,0.980884476830672,"parent_excitation_dense",1,"one_step_finite_population","recruitment"
"recruit_mean_80",44.6,44.5679742149656,0.10214332169841,44.3664821732401,44.5676877432936,44.7710291660764,TRUE,-0.313537728182793,10,0.989785667830159,"parent_excitation_dense",1,"one_step_finite_population","recruit_size"
"recruit_mean_slope_20",0.4,0.426935818005775,0.037628513338455,0.35443185713702,0.428336077076178,0.500204247049582,TRUE,0.715835296587375,2,0.981185743330772,"parent_excitation_dense",1,"one_step_finite_population","recruit_size"
"log_recruit_sd",1.25276296849537,1.25116589515411,0.00495813608313664,1.24068671690548,1.25138926290165,1.26094442321306,TRUE,-0.32211163922819,0.7,0.992916948452662,"parent_excitation_dense",1,"one_step_finite_population","recruit_size"
"survival_at_80",0.36,0.337543261263255,0.0216745043982636,0.2918794161977,0.337981794639341,0.378649323895881,TRUE,-1.03609006804066,1.5,0.985550330401158,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","survival"
"survival_slope_20",0.64,0.639528636229209,0.0139705625450651,0.612467469927573,0.639311857943424,0.667327041484845,TRUE,-0.0337397845842645,1,0.986029437454935,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","survival"
"growth_increment_80",8.4,8.35133592197998,0.070771211250239,8.21499474365128,8.35255628127954,8.49583022628777,TRUE,-0.687625337482852,6,0.98820479812496,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","growth"
"growth_slope_20",-2.4,-2.3926870983006,0.0358858706751719,-2.45907557150252,-2.39314004893701,-2.3232044067286,TRUE,0.203782200677147,3,0.988038043108276,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","growth"
"log_growth_sd",1.50407739677627,1.44297395122462,0.0154163416262125,1.41203920339633,1.44401192428488,1.47326456366282,FALSE,-3.96355030481169,0.7,0.977976654819697,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","growth"
"log_recruitment_at_80",-1.69314718055995,-1.71367187939493,0.0414482576010234,-1.79242600109702,-1.71439928308701,-1.6325961498618,TRUE,-0.495188459610417,1.5,0.972367828265984,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","recruitment"
"recruitment_slope_20",1.5,1.51035952215203,0.0187665356862292,1.47442004766982,1.51138292253088,1.54667996282849,TRUE,0.552021018968831,1,0.981233464313771,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","recruitment"
"recruit_mean_80",44.6,44.5806963395717,0.107593951291605,44.3570590163816,44.5839590961934,44.7852411136473,TRUE,-0.179412134200707,10,0.98924060487084,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","recruit_size"
"recruit_mean_slope_20",0.4,0.420244252106098,0.0401571748072507,0.34564493251569,0.420694133734743,0.493942069439373,TRUE,0.504125407309356,2,0.979921412596375,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","recruit_size"
"log_recruit_sd",1.25276296849537,1.25174605083857,0.005587489904154,1.24102658436463,1.25180242790553,1.26347467356614,TRUE,-0.181999014628452,0.7,0.992017871565494,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","recruit_size"
"log_process_precision",NA,8.26450821115849,0.838359167406078,6.5521165317321,8.26174851564202,9.97323835842903,NA,NA,2,0.580820416296961,"parent_excitation_dense",1,"one_step_finite_population_overdispersed","process"
"survival_at_80",0.36,0.27117487871308,0.0833623627313981,0.105173386678654,0.269303183544248,0.431296897517142,TRUE,-1.06553027501299,1.5,0.944425091512401,"parent_excitation_sparse",2,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.616517847834692,0.0557574203882459,0.513656198319374,0.617632644071617,0.723606760439119,TRUE,-0.421148467805693,1,0.944242579611754,"parent_excitation_sparse",2,"one_step_gamma_poisson","survival"
"growth_increment_80",8.4,8.21993877378186,0.1789070068348,7.88699709390509,8.21756264113085,8.56016583718434,TRUE,-1.00645150463229,6,0.970182165527533,"parent_excitation_sparse",2,"one_step_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.48043376976512,0.0966498542226001,-2.65161955711545,-2.47939558194392,-2.29909609739873,TRUE,-0.832218221249115,3,0.9677833819258,"parent_excitation_sparse",2,"one_step_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.48919944583389,0.0316176903574663,1.4296748160068,1.49006040519951,1.54983668518832,TRUE,-0.470557804007063,0.7,0.954831870917905,"parent_excitation_sparse",2,"one_step_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.72390321178289,0.0739703652786666,-1.85975155542882,-1.72707509671594,-1.57212184996643,TRUE,-0.415788554065905,1.5,0.950686423147556,"parent_excitation_sparse",2,"one_step_gamma_poisson","recruitment"
