"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_80",10,1,0.144539945161951,0.204898460703575,0.237538000662346,0.736639806827334
"parent_excitation_dense","one_step_shared_gamma_poisson","recruit_mean_80",10,1,0.0389802125174626,0.0800736903671122,0.104167967919752,0.62959127085327
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruit_mean_80",7,1,0.0873508140593436,0.175897198477129,0.203202201890634,0.691247677545318
"parent_excitation_dense","recursive_gamma_poisson","recruit_mean_80",10,1,0.0452382702092585,0.0951970571890973,0.115345184238891,0.731105358012365
"parent_excitation_sparse","recursive_gamma_poisson","recruit_mean_80",10,1,0.127620123001131,0.189388973447636,0.232184822361183,0.695923583061074
"parent_excitation_dense","one_step_gamma_poisson","recruit_sd.log_recruit_sd",10,1,-0.000192069126349503,0.0113102283772071,0.022929480466892,0.461780943765551
"parent_excitation_sparse","one_step_gamma_poisson","recruit_sd.log_recruit_sd",10,0.9,0.0245406540627949,0.0430883497265562,0.0485662638883568,0.707500322217288
"parent_excitation_dense","one_step_shared_gamma_poisson","recruit_sd.log_recruit_sd",10,1,-0.000348858705415634,0.0110049320166218,0.0185930927550381,0.540567886490759
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruit_sd.log_recruit_sd",7,0.857142857142857,0.0079699080814905,0.0352717407590515,0.0366720128693812,0.726980849278475
"parent_excitation_dense","recursive_gamma_poisson","recruit_sd.log_recruit_sd",10,1,-0.00068790238746308,0.00951619055839618,0.0235837715416057,0.367114906039589
"parent_excitation_sparse","recursive_gamma_poisson","recruit_sd.log_recruit_sd",10,1,0.0249705627386021,0.0474991085966528,0.0457351969229839,0.871054052673813
"parent_excitation_dense","one_step_gamma_poisson","recruitment_110",10,1,0.00273186196787729,0.0217345511729233,0.0255435109277947,0.730424160038513
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_110",10,1,-0.0185977082737907,0.0491814202796864,0.0546634343541049,0.809146915207633
"parent_excitation_dense","one_step_shared_gamma_poisson","recruitment_110",10,1,0.00141375046550045,0.0208967217219815,0.0291691538272657,0.556019300523652
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruitment_110",7,1,0.0120922771048638,0.0599392202221629,0.0649898182371659,0.786780394920875
"parent_excitation_dense","recursive_gamma_poisson","recruitment_110",10,1,-0.000890003922818639,0.0234229021067914,0.0263226540042995,0.761532463589207
"parent_excitation_sparse","recursive_gamma_poisson","recruitment_110",10,1,-0.0178978331899285,0.0424780922420658,0.0511734955476033,0.67117054844697
"parent_excitation_dense","one_step_gamma_poisson","recruitment_50",10,0.9,0.000237939888467501,0.00161605998292474,0.000992688379765014,1.1613701014173
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_50",10,1,0.000143419496477843,0.00214152105807978,0.0021128599753526,0.881142397752416
"parent_excitation_dense","one_step_shared_gamma_poisson","recruitment_50",10,0.9,0.000101166262249519,0.00145513026578203,0.00105583858352843,0.952541620640303
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruitment_50",7,1,0.000849485453485074,0.00206307824189885,0.00232523236531485,0.790098578851955
"parent_excitation_dense","recursive_gamma_poisson","recruitment_50",10,0.8,5.12078671049958e-05,0.00149826778344243,0.000930612626178471,1.31055573068522
"parent_excitation_sparse","recursive_gamma_poisson","recruitment_50",10,0.8,0.00121140695387371,0.0039570129209054,0.00192298240824573,1.4036161597386
"parent_excitation_dense","one_step_gamma_poisson","recruitment_80",10,0.9,0.0011146604953608,0.00829049313539029,0.00588267403381844,1.0817860413318
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_80",10,1,-0.000666632581898379,0.0118154812370462,0.0124188145046505,0.849221429638458
"parent_excitation_dense","one_step_shared_gamma_poisson","recruitment_80",10,0.9,0.000410891308109637,0.00742892897642713,0.0063276189432864,0.836771736442376
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruitment_80",7,1,0.00429526334644674,0.011796496173148,0.0137474215802947,0.764935708795852
"parent_excitation_dense","recursive_gamma_poisson","recruitment_80",10,0.9,5.62191771178225e-05,0.0077925888970497,0.00562382182983222,1.17933823495684
"parent_excitation_sparse","recursive_gamma_poisson","recruitment_80",10,0.8,0.00388858088968068,0.0181516630652009,0.0112303636313944,1.15279017809985
"parent_excitation_dense","one_step_gamma_poisson","survival_110",10,1,0.00106496405050519,0.0063140030708186,0.0133077507596283,0.390298345035056
"parent_excitation_sparse","one_step_gamma_poisson","survival_110",10,1,-0.00798669337209365,0.0233153471453048,0.0272805214104828,0.71818629959145
"parent_excitation_dense","one_step_shared_gamma_poisson","survival_110",10,1,0.00119760625334,0.00506311329177284,0.0142299705678656,0.261121826899174
"parent_excitation_sparse","one_step_shared_gamma_poisson","survival_110",7,1,-0.00869647642877065,0.0234125472062683,0.0319754084067333,0.621774482478147
"parent_excitation_dense","recursive_gamma_poisson","survival_110",10,1,0.00104589582651982,0.00535878473275925,0.00813954619828729,0.57210793881163
"parent_excitation_sparse","recursive_gamma_poisson","survival_110",10,0.8,-0.00755043288674732,0.0205663013898166,0.015651601684504,0.986670416189197
"parent_excitation_dense","one_step_gamma_poisson","survival_50",10,1,-0.000623908325436845,0.00348075712443691,0.00706448069245688,0.350710738271177
"parent_excitation_sparse","one_step_gamma_poisson","survival_50",10,1,0.00337615362854983,0.0158110584323896,0.0153633372189528,0.727567469613271
"parent_excitation_dense","one_step_shared_gamma_poisson","survival_50",10,1,-0.00132235560299036,0.00551236979463362,0.00711568413567632,0.619400316788526
"parent_excitation_sparse","one_step_shared_gamma_poisson","survival_50",7,1,-0.00301617851245413,0.0148959638374349,0.0153810294450476,0.843474930773439
"parent_excitation_dense","recursive_gamma_poisson","survival_50",10,1,0.000469000456193208,0.00669500707973921,0.00767707113326192,0.721414740665886
"parent_excitation_sparse","recursive_gamma_poisson","survival_50",10,1,-0.000790757349602373,0.0146242252029901,0.0147794287949799,0.863272458023894
"parent_excitation_dense","one_step_gamma_poisson","survival_80",10,1,0.000648727280161499,0.00561794456714372,0.0105160630669555,0.473638040069193
"parent_excitation_sparse","one_step_gamma_poisson","survival_80",10,1,-0.0028977640930061,0.0162811263204763,0.0211758534005496,0.691541757783329
"parent_excitation_dense","one_step_shared_gamma_poisson","survival_80",10,1,0.000372374706622269,0.00573013409658885,0.0119241117687446,0.425549095568057
"parent_excitation_sparse","one_step_shared_gamma_poisson","survival_80",7,1,-0.00659382086707792,0.0197842879905187,0.0265345485560328,0.653349539453802
"parent_excitation_dense","recursive_gamma_poisson","survival_80",10,1,0.00106497455625936,0.00549976847408339,0.00716877121281556,0.693668769483409
"parent_excitation_sparse","recursive_gamma_poisson","survival_80",10,0.9,-0.0054201022656081,0.0160771620806826,0.0137335182246953,0.999407397847347
