"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","scenario","replicate","method","group"
"growth_increment_80",8.4,8.45231911798744,0.073847357375828,8.31228747055566,8.45220533359105,8.58810341504005,TRUE,0.708476509473051,"parent_excitation_dense",8,"one_step_gamma_poisson","growth"
"growth_increment_110",4.8,4.85634277723552,0.0810281426187853,4.69023402156523,4.85389142163739,5.00861074992826,TRUE,0.695348250799636,"parent_excitation_dense",8,"one_step_gamma_poisson","growth"
"growth_sd.log_growth_sd",4.5,4.2380731634397,0.0705249182482398,4.10315825291465,4.23298997439318,4.38394991914548,FALSE,-3.71396157650753,"parent_excitation_dense",8,"one_step_gamma_poisson","growth"
"recruitment_50",0.019387103915861,0.018688794798402,0.000852785639004739,0.017082349616324,0.0186960140714318,0.020535762217742,TRUE,-0.81885656314984,"parent_excitation_dense",8,"one_step_gamma_poisson","recruitment"
"recruitment_80",0.183939720585721,0.180019087729124,0.00524215303646176,0.169989205027988,0.18005341312531,0.190841002872832,TRUE,-0.74790507437054,"parent_excitation_dense",8,"one_step_gamma_poisson","recruitment"
"recruitment_110",1.74517147873092,1.7345176343869,0.0232684823227335,1.69118832123635,1.73485862162297,1.77696555540006,TRUE,-0.457865888984519,"parent_excitation_dense",8,"one_step_gamma_poisson","recruitment"
"recruit_mean_50",44,44.2839628694036,0.167405285168765,43.9406578472609,44.2961980404239,44.5727200235333,TRUE,1.69625988281867,"parent_excitation_dense",8,"one_step_gamma_poisson","recruit_size"
"recruit_mean_80",44.6,44.784147428823,0.107938720362798,44.5720588035146,44.79437568819,44.9750705063205,TRUE,1.70603679758358,"parent_excitation_dense",8,"one_step_gamma_poisson","recruit_size"
"recruit_mean_110",45.2,45.2843319882424,0.0519050486134666,45.1762399900597,45.2888890115794,45.3787103268302,TRUE,1.62473575297843,"parent_excitation_dense",8,"one_step_gamma_poisson","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.51228587985667,0.0197342643898294,3.47461978273684,3.51265021948516,3.5512139547962,TRUE,0.622565889155026,"parent_excitation_dense",8,"one_step_gamma_poisson","recruit_size"
"lambda",1.03119869581319,1.0367017591345,0.0117513260982763,1.01423017020447,1.03778706246229,1.05793497179204,TRUE,0.468292963303767,"parent_excitation_dense",8,"one_step_gamma_poisson","lambda"
"survival_50",0.354343693774205,0.356441140527268,0.00695235684488306,0.343004176508966,0.356317436225325,0.370227087244672,TRUE,0.301688592783812,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","survival"
"survival_80",0.589040434058665,0.592060321168998,0.0116543351511497,0.569064789258076,0.592608995808486,0.614552241014728,TRUE,0.259121354514548,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","survival"
"survival_110",0.789181706522253,0.791563360711825,0.0137489104138098,0.762730586418285,0.7919334932737,0.814931826574628,TRUE,0.173224940587296,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","survival"
"growth_increment_50",12,12.0271856058689,0.115015959948192,11.8156825483356,12.035097542285,12.2466156023078,TRUE,0.236363769698744,"parent_excitation_dense",8,"one_step_shared_gamma_poisson","growth"
