"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_sparse",11,"one_step_gamma_poisson",TRUE,"",TRUE,10062.4606663622
"parent_excitation_dense",11,"recursive_gamma_poisson",TRUE,"",TRUE,91185.4558401316
"parent_excitation_dense",11,"one_step_gamma_poisson",TRUE,"",TRUE,88040.4394249393
"standard",12,"recursive_gamma_poisson",TRUE,"",TRUE,8863.33331705892
"standard",12,"one_step_gamma_poisson",TRUE,"",TRUE,4297.35550009417
"parent_excitation_sparse",12,"recursive_gamma_poisson",TRUE,"",TRUE,3433.76675566417
"parent_excitation_sparse",12,"one_step_gamma_poisson",TRUE,"",TRUE,2106.95824760793
"parent_excitation_dense",12,"recursive_gamma_poisson",TRUE,"",TRUE,20498.9751096406
"parent_excitation_dense",12,"one_step_gamma_poisson",TRUE,"",TRUE,19864.317767003
"standard",13,"recursive_gamma_poisson",TRUE,"",TRUE,9592.83737213051
"standard",13,"one_step_gamma_poisson",TRUE,"",TRUE,819.711819332823
"parent_excitation_sparse",13,"recursive_gamma_poisson",TRUE,"",TRUE,20645.1315029142
"parent_excitation_sparse",13,"one_step_gamma_poisson",TRUE,"",TRUE,20373.5438791224
"parent_excitation_dense",13,"recursive_gamma_poisson",TRUE,"",TRUE,74600.6798466233
"parent_excitation_dense",13,"one_step_gamma_poisson",TRUE,"",TRUE,78731.7717500173
"standard",14,"recursive_gamma_poisson",TRUE,"",TRUE,8227.76828115011
"standard",14,"one_step_gamma_poisson",TRUE,"",TRUE,2211.04787181321
"parent_excitation_sparse",14,"recursive_gamma_poisson",TRUE,"",TRUE,45506.3875433309
"parent_excitation_sparse",14,"one_step_gamma_poisson",TRUE,"",TRUE,29223.4983290479
"parent_excitation_dense",14,"recursive_gamma_poisson",TRUE,"",TRUE,81838.3294340603
"parent_excitation_dense",14,"one_step_gamma_poisson",TRUE,"",TRUE,94626.2803194104
"standard",15,"recursive_gamma_poisson",TRUE,"",TRUE,3035.18995219495
"standard",15,"one_step_gamma_poisson",TRUE,"",TRUE,1323.94602361333
"parent_excitation_sparse",15,"recursive_gamma_poisson",TRUE,"",TRUE,12289.9214015708
"parent_excitation_sparse",15,"one_step_gamma_poisson",TRUE,"",TRUE,22469.9664573214
"parent_excitation_dense",15,"recursive_gamma_poisson",TRUE,"",TRUE,114212.034551895
"parent_excitation_dense",15,"one_step_gamma_poisson",TRUE,"",TRUE,88028.6822261844
"standard",16,"recursive_gamma_poisson",TRUE,"",TRUE,112747.031041056
"standard",16,"one_step_gamma_poisson",TRUE,"",TRUE,779.781895348298
"parent_excitation_sparse",16,"recursive_gamma_poisson",TRUE,"",TRUE,27563.270321508
"parent_excitation_sparse",16,"one_step_gamma_poisson",TRUE,"",TRUE,3641.2131154068
