"recruit_mean","overlap","recruit_level_slope_corr","recruitment_contraction","survival_contraction","growth_contraction"
35,0.697869733541378,0.961588368508321,0.992794274229,0.992944374577884,0.992786062068597
40,0.672108630700203,-0.992516606116731,0.956284413394946,0.994209262522802,0.989897477349197
45,0.648607868468356,-0.993109475496126,0.95413909689659,0.99363459355042,0.988551357668919
50,0.628193513902039,-0.994429959620113,0.948427447107448,0.99291901986566,0.987520530410592
55,0.612016210876631,-0.995018063253933,0.944861842797529,0.991601550604718,0.985189496734275
60,0.601302885582118,-0.996942546684735,0.928901187750044,0.990353483155383,0.983582560303776
65,0.597038780051007,-0.98774685952679,0.969878854253309,0.988612894942673,0.981859449475673
70,0.600182456070683,0.159185220075802,0.996703767928505,0.986343526412877,0.979276539025576
75,0.611650082824245,-0.99842426216493,0.893366513081242,0.98517399972552,0.977289772503584
80,0.632214516995897,-0.991421050289373,0.957790090262365,0.985776201432931,0.978205029640766
85,0.662247854487693,-0.975303297729539,0.975904613262098,0.9860058357249,0.978085745020841
90,0.69243604931523,-0.517026255801826,0.994438132060725,0.984745985696335,0.97220964271167
95,0.725596772801659,-0.964521242644998,0.996460794729598,0.779609720314545,0.992547746693122
100,0.764123911633538,-0.992136188622929,0.992535901285842,0.987147046807098,0.98313018535703
