"regime","datasets","mean_curve_rmse","curve_rmse_q025","curve_rmse_q975","coverage_at_80","coverage_q025","coverage_q975","mean_width_at_80","mean_robust_weight"
"biased_full_800",29,0.101934328615285,0.0896258788712348,0.115643045078987,0,0,0.119444869069503,0.084111249240802,NA
"biased_robust_800",29,0.237526017170068,0.146720596602757,0.350249248617762,0.275862068965517,0.12734011410223,0.472384482430034,0.17618960158391,0.667989153055049
"correct_full_200",30,0.123281603429591,0.101800238205477,0.145346607755146,0.6,0.406034930051819,0.773442351171406,0.148041364627835,NA
"correct_full_50",30,0.19044553089495,0.150259027078377,0.250158933520693,0.433333333333333,0.254607549903263,0.625726549390779,0.216092423437979,NA
"correct_full_800",30,0.0837377358897763,0.0664960521356956,0.101590822652424,0.866666666666667,0.692781649723873,0.962446503661637,0.0725690744391419,NA
"weak",30,0.28039096383816,0.19583060330291,0.383371511845363,0.533333333333333,0.343255238160734,0.716581920816463,0.267786300425193,NA
