"regime","replicate","curve_rmse","coverage_at_80","error_at_80","width_at_80","robust_weight"
"biased_full_800",1,0.119589567050517,FALSE,0.103150432777568,0.0846965579204662,NA
"biased_robust_800",1,0.112560655676074,FALSE,0.0983256012592902,0.0966038760424668,0.971040247138617
"correct_full_200",1,0.0609375259332239,TRUE,-0.028239383423926,0.0954395707998427,NA
"correct_full_50",1,0.0680392835808129,TRUE,-0.0333077225187642,0.132922505374649,NA
"correct_full_800",1,0.0202373580032075,TRUE,0.0154730036603504,0.063144527787101,NA
"weak",1,0.0263011630875413,TRUE,-0.0146741229899181,0.179343436797045,NA
"biased_full_800",2,0.0747437343246325,FALSE,0.117566319208747,0.084761688633522,NA
"biased_robust_800",2,0.074192288817458,FALSE,0.118266791977602,0.0808582144813198,0.999352041792934
"correct_full_200",2,0.0857163837649238,TRUE,0.0312041471263144,0.130657146730931,NA
"correct_full_50",2,0.183169890711105,TRUE,-0.0462298464924373,0.174866818418615,NA
"correct_full_800",2,0.0228840289420732,TRUE,0.0143155930127378,0.0748244977878123,NA
"weak",2,0.142808749910191,TRUE,-0.0133963021328254,0.364336095161832,NA
"biased_full_800",3,0.109378894076498,FALSE,0.17018831835898,0.0942701370396716,NA
"biased_robust_800",3,0.110162414494076,FALSE,0.171186343648717,0.0947409814890656,0.99644226405921
"correct_full_200",3,0.071359733184494,FALSE,0.0969524110659619,0.170020330046925,NA
"correct_full_50",3,0.143260857669147,FALSE,0.209018275926356,0.269864217908764,NA
"correct_full_800",3,0.018670928981199,TRUE,0.00789871866157571,0.0740751223687134,NA
"weak",3,0.147177190841101,FALSE,0.228140898362923,0.352001624331543,NA
"biased_full_800",4,0.058748142174257,FALSE,0.0957621012670268,0.0779651806397068,NA
"biased_robust_800",4,0.0627777666704699,FALSE,0.0958032662649702,0.130199692233597,0.877244144657776
"correct_full_200",4,0.185176679669942,TRUE,0.00663712327246035,0.127853107707826,NA
"correct_full_50",4,0.137152908772606,TRUE,0.0380595609590663,0.247178768708382,NA
"correct_full_800",4,0.170102886145808,TRUE,0.00332011640376648,0.0670757893288179,NA
"weak",4,0.106632761425476,TRUE,0.102650134298452,0.303073036666094,NA
"biased_full_800",5,0.120995764790563,FALSE,0.127114625525738,0.0825539151906976,NA
"biased_robust_800",5,0.123601641875384,FALSE,0.126204916818554,0.0831690742656384,0.980344773171408
"correct_full_200",5,0.217202374013233,FALSE,0.0689525234333933,0.12844047735717,NA
"correct_full_50",5,0.158263722376752,FALSE,0.0993681128210087,0.15822782787137,NA
"correct_full_800",5,0.0942793177997439,TRUE,0.00965708652770189,0.0706874595397007,NA
"weak",5,0.206024539007339,FALSE,0.10896208201148,0.188663108789126,NA
"biased_full_800",6,0.112031782075322,FALSE,0.095761489495905,0.0840767121285224,NA
"biased_robust_800",6,0.109181622116808,FALSE,0.0946183050669372,0.0841401579422322,0.993150221850995
"correct_full_200",6,0.104140880725099,TRUE,0.060092441841309,0.156769532484006,NA
"correct_full_50",6,0.165477172349151,FALSE,0.127290553745837,0.22469170908068,NA
"correct_full_800",6,0.0735433304521695,FALSE,0.0368564252298764,0.0784608214376714,NA
"weak",6,0.171139953620839,FALSE,0.135685993495806,0.281098692497616,NA
"biased_full_800",7,0.0792055176726949,FALSE,0.0847745541334852,0.0765558700914265,NA
"biased_robust_800",7,0.295074433509293,TRUE,-0.0668881878995497,0.252256927795463,0.122207460092028
"correct_full_200",7,0.240442457628773,TRUE,-0.0178997089889256,0.101992919748234,NA
"correct_full_50",7,0.194049057278223,TRUE,-0.0286914882919111,0.138693696369072,NA
"correct_full_800",7,0.189323608916571,TRUE,0.000215714689695778,0.0619975660496896,NA
"weak",7,0.328332067172246,TRUE,-0.0876594953807759,0.176666565690307,NA
"biased_full_800",8,0.163249802209123,FALSE,0.129243386699125,0.0875559584037858,NA
"biased_robust_800",8,0.550816369778298,FALSE,0.340074076852156,0.146530959264315,0.00963319446487836
"correct_full_200",8,0.170041793614974,FALSE,0.105388712110663,0.214781190266156,NA
"correct_full_50",8,0.287359362095276,FALSE,0.2737952223228,0.288477046235935,NA
"correct_full_800",8,0.156011191730579,TRUE,0.0228305527638688,0.0766459534117127,NA
"weak",8,0.559744141029948,FALSE,0.341302743755007,0.136490935784448,NA
"biased_full_800",9,0.0904066820150768,FALSE,0.111814290397134,0.0859257617163079,NA
"biased_robust_800",9,0.0725544461598128,TRUE,0.0983650585534632,0.242426065576158,0.893699270504841
"correct_full_200",9,0.0897329867414653,TRUE,0.0172073841693735,0.130616101257342,NA
"correct_full_50",9,0.167199994793311,TRUE,-0.0444177540936244,0.170435703419232,NA
"correct_full_800",9,0.107525233311941,TRUE,-0.0107853575403422,0.0653214276901175,NA
"weak",9,0.155377976329077,TRUE,-0.0246405539413755,0.291116773874389,NA
"biased_full_800",10,0.084869392524882,FALSE,0.122840052603808,0.080541281269137,NA
"biased_robust_800",10,0.0834123735026998,FALSE,0.123007398114115,0.0798259194734005,0.997521315972178
"correct_full_200",10,0.0460231849594524,TRUE,0.056014818848663,0.126248062286794,NA
"correct_full_50",10,0.0572170775484091,FALSE,0.0880824389443663,0.15769346027166,NA
"correct_full_800",10,0.038976145583315,TRUE,0.0129813656166757,0.0764493478482106,NA
"weak",10,0.067794987819721,FALSE,0.112547510631798,0.175676288072588,NA
"biased_full_800",11,0.0696407580586022,FALSE,0.114126379107315,0.0815737899914078,NA
"biased_robust_800",11,0.070288070570732,FALSE,0.11495095469461,0.0867911466188821,0.997073353217258
"correct_full_200",11,0.0428642495456183,TRUE,-0.0051453129174352,0.119866453226203,NA
