"regime","ratio_of_mean_curve_rmse_to_weak","ratio_q025","ratio_q975"
"biased_full_800",0.365525973220623,0.259714423446762,0.542520318746551
"biased_robust_800",0.851743762584495,0.738955547378569,0.925306576724723
"correct_full_200",0.43967751935383,0.30637688753441,0.653828589252403
"correct_full_50",0.679214223910849,0.501962158560058,0.920501403540199
"correct_full_800",0.298646342747726,0.205503229014285,0.44368686716034
"weak",1,1,1
