"replicate","regime","sample_size","robust_weight","positive_definite","failed"
12,"biased_full_800",800,NA,FALSE,FALSE
13,"biased_full_800",800,NA,TRUE,FALSE
14,"biased_full_800",800,NA,TRUE,FALSE
15,"biased_full_800",800,NA,TRUE,FALSE
16,"biased_full_800",800,NA,TRUE,FALSE
17,"biased_full_800",800,NA,TRUE,FALSE
18,"biased_full_800",800,NA,TRUE,FALSE
19,"biased_full_800",800,NA,TRUE,FALSE
20,"biased_full_800",800,NA,TRUE,FALSE
21,"biased_full_800",800,NA,TRUE,FALSE
22,"biased_full_800",800,NA,TRUE,FALSE
23,"biased_full_800",800,NA,TRUE,FALSE
24,"biased_full_800",800,NA,TRUE,FALSE
25,"biased_full_800",800,NA,TRUE,FALSE
26,"biased_full_800",800,NA,TRUE,FALSE
27,"biased_full_800",800,NA,TRUE,FALSE
28,"biased_full_800",800,NA,TRUE,FALSE
29,"biased_full_800",800,NA,TRUE,FALSE
30,"biased_full_800",800,NA,TRUE,FALSE
1,"biased_robust_800",800,0.971040247138617,TRUE,FALSE
2,"biased_robust_800",800,0.999352041792934,TRUE,FALSE
3,"biased_robust_800",800,0.99644226405921,TRUE,FALSE
4,"biased_robust_800",800,0.877244144657776,TRUE,FALSE
5,"biased_robust_800",800,0.980344773171408,TRUE,FALSE
6,"biased_robust_800",800,0.993150221850995,TRUE,FALSE
7,"biased_robust_800",800,0.122207460092028,TRUE,FALSE
8,"biased_robust_800",800,0.00963319446487836,TRUE,FALSE
9,"biased_robust_800",800,0.893699270504841,TRUE,FALSE
10,"biased_robust_800",800,0.997521315972178,TRUE,FALSE
11,"biased_robust_800",800,0.997073353217258,TRUE,FALSE
12,"biased_robust_800",800,0.994512770352068,FALSE,FALSE
13,"biased_robust_800",800,0.986685291622647,TRUE,FALSE
14,"biased_robust_800",800,0.71007594524947,TRUE,FALSE
15,"biased_robust_800",800,0.996457947381582,TRUE,FALSE
16,"biased_robust_800",800,0.186735359979447,TRUE,FALSE
17,"biased_robust_800",800,0.00104171781644775,TRUE,FALSE
18,"biased_robust_800",800,0.74082567251743,TRUE,FALSE
19,"biased_robust_800",800,0.495752398854766,TRUE,FALSE
20,"biased_robust_800",800,0.991715871778824,TRUE,FALSE
21,"biased_robust_800",800,0.989818199014255,TRUE,FALSE
22,"biased_robust_800",800,0.979708116973018,TRUE,FALSE
23,"biased_robust_800",800,0.993982588617805,TRUE,FALSE
24,"biased_robust_800",800,6.45751818109015e-11,TRUE,FALSE
25,"biased_robust_800",800,0.993916366606432,TRUE,FALSE
26,"biased_robust_800",800,0.472568812898862,TRUE,FALSE
27,"biased_robust_800",800,0.000869882631026727,TRUE,FALSE
28,"biased_robust_800",800,0.981416743572843,TRUE,FALSE
29,"biased_robust_800",800,0.00370390278836153,TRUE,FALSE
30,"biased_robust_800",800,0.00870233330651035,TRUE,FALSE
