"survival_at_80","survival_slope_20","growth_increment_80","growth_slope_20","log_growth_sd","log_recruitment_at_80","recruitment_slope_20","recruit_mean_80","recruit_mean_slope_20","log_recruit_sd","log_process_precision"
91,88,3,42,66,76,36,93,4,35,84
45,33,30,55,45,71,59,17,78,62,64
19,73,33,58,62,90,13,96,1,25,66
86,74,13,62,90,63,35,29,69,16,25
70,82,47,18,40,68,33,81,18,89,21
41,33,41,68,16,7,91,89,8,45,65
62,66,17,28,80,96,6,38,64,44,79
40,7,98,5,39,77,19,25,76,52,51
71,11,67,73,45,23,66,19,64,40,66
62,87,49,32,66,78,8,92,15,82,26
98,92,24,28,61,15,89,40,61,45,42
76,3,55,74,58,58,38,85,17,46,98
85,69,4,85,98,94,3,11,92,64,37
77,54,5,81,86,40,50,80,11,5,94
55,4,56,93,13,50,51,11,66,0,3
15,91,56,41,31,86,23,7,93,45,82
64,98,17,44,48,33,79,89,42,88,14
83,10,39,97,11,50,37,34,58,49,38
12,85,58,16,83,89,16,66,48,26,52
10,58,42,74,25,77,32,64,44,95,70
0,11,80,60,1,3,97,33,62,92,1
58,91,24,0,1,15,91,53,63,90,4
52,73,13,48,56,42,50,52,55,75,68
50,72,24,11,88,76,28,50,28,19,58
23,55,2,70,85,8,94,38,54,14,87
24,42,94,55,62,82,11,39,69,62,53
35,18,87,54,31,22,75,84,11,93,18
68,48,53,55,31,24,72,83,14,38,37
79,84,9,82,79,94,5,89,13,82,16
99,17,39,41,52,0,87,0,96,4,43
7,42,26,93,43,43,83,7,72,1,21
87,94,3,88,42,23,78,2,94,4,62
13,79,84,18,10,4,96,2,95,68,68
21,3,97,1,95,0,99,3,90,37,14
15,30,98,1,80,0,99,55,50,65,5
86,16,63,26,73,37,52,83,10,17,12
31,45,39,39,69,6,93,46,30,1,76
92,53,28,78,27,14,80,99,10,59,19
87,62,59,72,30,86,11,76,17,10,4
45,2,49,74,29,1,95,1,98,7,23
75,85,19,91,64,56,19,50,42,37,87
10,38,17,53,93,51,57,0,96,30,13
57,99,61,1,41,60,39,26,83,11,52
47,99,44,13,87,48,59,15,89,76,32
94,70,16,80,48,93,7,11,87,2,21
77,56,66,56,15,57,33,44,43,75,86
94,58,4,95,78,94,3,90,4,59,84
28,60,40,23,53,35,76,28,69,45,8
69,61,37,75,0,8,88,97,1,99,22
10,28,79,69,75,99,8,91,13,45,50
2,6,92,66,34,24,77,72,53,52,7
77,23,87,53,6,64,20,23,59,27,89
57,89,34,55,25,86,20,49,56,68,52
58,8,72,79,3,70,28,63,48,83,52
20,60,1,88,58,90,23,75,13,13,25
20,93,13,41,18,69,42,43,62,69,18
62,35,50,60,50,54,39,7,89,77,80
71,97,74,6,38,46,60,11,92,88,68
88,17,42,89,30,36,54,35,66,49,2
77,93,55,59,56,98,1,88,18,99,6
