"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","design","process_model"
"survival_50",0.354343693774205,0.362350620495853,0.00451376493869553,0.353415529776988,0.362254592431405,0.371399790621334,TRUE,"one_by_twelve","poisson"
"survival_80",0.589040434058665,0.590084608406356,0.00378417515823177,0.583202865106098,0.589949365598063,0.597791417359687,TRUE,"one_by_twelve","poisson"
"survival_110",0.789181706522253,0.784784386038005,0.00367149999767721,0.777643000063561,0.78466425857497,0.791978692549356,TRUE,"one_by_twelve","poisson"
"growth_increment_50",12,11.8504870294485,0.176464653398815,11.4865517719977,11.8565105800299,12.1712366635084,TRUE,"one_by_twelve","poisson"
"growth_increment_80",8.4,8.29005483489962,0.126191359005907,8.01516721829025,8.30128365856558,8.51833858476948,TRUE,"one_by_twelve","poisson"
"growth_increment_110",4.8,4.72962264035076,0.0959026853901561,4.54017749952739,4.73401901474245,4.91046333060598,TRUE,"one_by_twelve","poisson"
"growth_sd.log_growth_sd",4.5,4.18218880516256,0.192249067897253,3.81589654288831,4.16767640222849,4.55869360901542,TRUE,"one_by_twelve","poisson"
"recruitment_50",0.019387103915861,0.0132515999248128,0.00174037551007944,0.010169229145625,0.0131812407710109,0.016985246367182,FALSE,"one_by_twelve","poisson"
"recruitment_80",0.183939720585721,0.144603019453526,0.010924533463333,0.124960397641549,0.14450391736395,0.167540562356122,FALSE,"one_by_twelve","poisson"
"recruitment_110",1.74517147873092,1.58290844281018,0.0385311633997513,1.50629934433001,1.5819231051482,1.6613753884688,FALSE,"one_by_twelve","poisson"
"recruit_mean_50",44,43.7410684748605,0.35300222541183,43.0650993571561,43.7462437993795,44.4498383865983,TRUE,"one_by_twelve","poisson"
"recruit_mean_80",44.6,44.403597874771,0.226627642867765,43.9718689417192,44.4072659373639,44.8662069204099,TRUE,"one_by_twelve","poisson"
"recruit_mean_110",45.2,45.0661272746817,0.103958437715212,44.8602769792575,45.0664906061174,45.2825685329601,TRUE,"one_by_twelve","poisson"
"recruit_sd.log_recruit_sd",3.5,3.45252633976025,0.032138846119794,3.38680326414141,3.45289964672852,3.51343004155591,TRUE,"one_by_twelve","poisson"
"lambda",1.03119869581319,1.02653125820679,0.00144624129064384,1.02355960975487,1.02650914474158,1.02932201061646,FALSE,"one_by_twelve","poisson"
"survival_50",0.354343693774205,0.364338538859236,0.00571054426163181,0.35331375402747,0.364157130460737,0.376606898923877,TRUE,"one_by_twelve","gamma_poisson"
"survival_80",0.589040434058665,0.590655270501035,0.00440238725313167,0.582528349418154,0.590588301430762,0.600007299969959,TRUE,"one_by_twelve","gamma_poisson"
"survival_110",0.789181706522253,0.784130335056912,0.00419349016221693,0.775864212699069,0.784105527989289,0.792519142033199,TRUE,"one_by_twelve","gamma_poisson"
"growth_increment_50",12,11.8355553241249,0.200963126089853,11.399606811496,11.8346771850959,12.2006686750084,TRUE,"one_by_twelve","gamma_poisson"
"growth_increment_80",8.4,8.28772289500723,0.137221638544096,8.00781824767308,8.28960000630064,8.55026239483921,TRUE,"one_by_twelve","gamma_poisson"
"growth_increment_110",4.8,4.73989046588957,0.0996369218756407,4.54091934462484,4.73978160219761,4.9267007307566,TRUE,"one_by_twelve","gamma_poisson"
"growth_sd.log_growth_sd",4.5,4.12219137226443,0.202706933268022,3.73762337268775,4.11686598981296,4.52826399584035,TRUE,"one_by_twelve","gamma_poisson"
"recruitment_50",0.019387103915861,0.0129608876858911,0.00193451841856168,0.0095233065426623,0.0128183827154095,0.017025950256318,FALSE,"one_by_twelve","gamma_poisson"
"recruitment_80",0.183939720585721,0.142483242277385,0.0124210565348503,0.119328517379792,0.142094170862892,0.16799646774381,FALSE,"one_by_twelve","gamma_poisson"
"recruitment_110",1.74517147873092,1.5726267520173,0.0483086597268977,1.47744034315302,1.57337028375073,1.66241690194621,FALSE,"one_by_twelve","gamma_poisson"
"recruit_mean_50",44,43.799143189213,0.445521591337173,42.9001100454723,43.8096329079673,44.635354206954,TRUE,"one_by_twelve","gamma_poisson"
"recruit_mean_80",44.6,44.4339350131315,0.286142084011548,43.8666525194132,44.4437742845915,44.9787276168575,TRUE,"one_by_twelve","gamma_poisson"
"recruit_mean_110",45.2,45.0687268370499,0.13242417919463,44.8114586926544,45.0705761367407,45.315020903956,TRUE,"one_by_twelve","gamma_poisson"
"recruit_sd.log_recruit_sd",3.5,3.45477768011438,0.0439963674377704,3.37045675552128,3.45452852744829,3.54204765794117,TRUE,"one_by_twelve","gamma_poisson"
"lambda",1.03119869581319,1.02647955062419,0.00161266046216484,1.0232133411074,1.02654466044346,1.029588482873,FALSE,"one_by_twelve","gamma_poisson"
"survival_50",0.354343693774205,0.356549829894312,0.00660351134560136,0.344661699891501,0.356211526746198,0.370595481062659,TRUE,"one_by_twelve","correlated_log_gaussian"
"survival_80",0.589040434058665,0.588307396151285,0.0125142462828189,0.570628383324839,0.58575095619493,0.620762039990818,TRUE,"one_by_twelve","correlated_log_gaussian"
