"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","transitions","prior_regime","process_model"
"survival_50",0.354343693774205,0.341918241326825,0.0160390212413611,0.309942295759431,0.341532386983868,0.37554740550661,TRUE,2,"weak","gamma_poisson"
"survival_80",0.589040434058665,0.579447210896973,0.0199950170994484,0.543955106135855,0.578212988083623,0.622792096028802,TRUE,2,"weak","gamma_poisson"
"survival_110",0.789181706522253,0.784275589888857,0.026048055529106,0.734452264309101,0.782880345088236,0.83641164153172,TRUE,2,"weak","gamma_poisson"
"growth_increment_50",12,12.0998901330817,0.945656376061364,10.0526250320074,12.1703445453303,13.7607192885474,TRUE,2,"weak","gamma_poisson"
"growth_increment_80",8.4,8.21399556364863,0.664686075821917,6.7606057317964,8.26215328997031,9.39334317512797,TRUE,2,"weak","gamma_poisson"
"growth_increment_110",4.8,4.32810099421558,0.539337714288798,3.17054685515119,4.36246242479394,5.32102972627974,TRUE,2,"weak","gamma_poisson"
"growth_sd.log_growth_sd",4.5,4.73615080508477,0.661453824332178,3.52286595127656,4.73617732445797,6.24344229363962,TRUE,2,"weak","gamma_poisson"
"recruitment_50",0.019387103915861,0.0234864527244034,0.016547919646945,0.00456374698650198,0.0189553275232728,0.0698068456719637,TRUE,2,"weak","gamma_poisson"
"recruitment_80",0.183939720585721,0.200669417531658,0.0727903519331548,0.088612309658573,0.193006003069552,0.362074735780473,TRUE,2,"weak","gamma_poisson"
"recruitment_110",1.74517147873092,1.91792446515407,0.10931324305205,1.69182564157752,1.92323665047649,2.11744067088521,TRUE,2,"weak","gamma_poisson"
"recruit_mean_50",44,48.3515537261718,2.950225616247,42.499157727154,48.5232825673897,53.5052582628377,TRUE,2,"weak","gamma_poisson"
"recruit_mean_80",44.6,46.8533043832649,1.61432421268692,43.7858737034298,46.8933397581968,49.8179902753455,TRUE,2,"weak","gamma_poisson"
"recruit_mean_110",45.2,45.355055040358,0.387942721658738,44.6610257934624,45.3133419328894,46.1945580125179,TRUE,2,"weak","gamma_poisson"
"recruit_sd.log_recruit_sd",3.5,3.71350980655876,0.201237858441817,3.27381964014405,3.73505168609972,4.0583267522469,TRUE,2,"weak","gamma_poisson"
"lambda",1.0294523184952,1.00938634653674,0.0190316168914597,0.973461979243971,1.00893874743733,1.04886506754737,TRUE,2,"weak","gamma_poisson"
"survival_50",0.354343693774205,0.359684129453329,0.0101476258041759,0.340350942971301,0.359326574838855,0.379216065320697,TRUE,4,"weak","gamma_poisson"
"survival_80",0.589040434058665,0.591586234965431,0.00966139372065411,0.574548227556095,0.591194177075328,0.611643111622924,TRUE,4,"weak","gamma_poisson"
"survival_110",0.789181706522253,0.788666606392938,0.0117904672175399,0.764840770922728,0.788669437822208,0.810900235455036,TRUE,4,"weak","gamma_poisson"
"growth_increment_50",12,11.4280078557656,0.497508354401856,10.3961006813475,11.4544345929148,12.3589835282898,TRUE,4,"weak","gamma_poisson"
"growth_increment_80",8.4,7.84870798037361,0.343280604963401,7.15448760175666,7.86728043571055,8.46990349616415,TRUE,4,"weak","gamma_poisson"
"growth_increment_110",4.8,4.26940810498162,0.279518709019882,3.70413112324477,4.27459385720744,4.79717111734351,FALSE,4,"weak","gamma_poisson"
"growth_sd.log_growth_sd",4.5,4.73557728891978,0.379782490348067,4.02759223422013,4.72906088050792,5.4796035620955,TRUE,4,"weak","gamma_poisson"
"recruitment_50",0.019387103915861,0.0182775530636387,0.00726553750828054,0.00714871179847466,0.0173844629938462,0.034924458331908,TRUE,4,"weak","gamma_poisson"
"recruitment_80",0.183939720585721,0.184331563506443,0.0393548480864901,0.113321943820396,0.183424694798427,0.264447325384183,TRUE,4,"weak","gamma_poisson"
"recruitment_110",1.74517147873092,1.9207379567311,0.084508227927029,1.73819387171625,1.92469678626197,2.07436907395018,TRUE,4,"weak","gamma_poisson"
"recruit_mean_50",44,42.9876198361938,1.16825652702361,40.4722407510319,42.9927889606171,45.1615044671681,TRUE,4,"weak","gamma_poisson"
"recruit_mean_80",44.6,44.0246951984665,0.669470059602532,42.6108609217289,44.0295758094454,45.274504953592,TRUE,4,"weak","gamma_poisson"
"recruit_mean_110",45.2,45.0617705607391,0.202101671494386,44.6397748764914,45.0698027226165,45.4317735834348,TRUE,4,"weak","gamma_poisson"
"recruit_sd.log_recruit_sd",3.5,3.78042554148516,0.101127570422446,3.55032540540631,3.78570873619884,3.96342010403432,FALSE,4,"weak","gamma_poisson"
"lambda",1.0294523184952,1.02223196433126,0.00693057179825883,1.00861298240328,1.02225026618368,1.03613840643226,TRUE,4,"weak","gamma_poisson"
"survival_50",0.354343693774205,0.364326841361546,0.0074406722488107,0.350565191671844,0.36428396432929,0.379521611765252,TRUE,8,"weak","gamma_poisson"
"survival_80",0.589040434058665,0.58768277083876,0.00585153628299969,0.576766051781715,0.587442443979012,0.599408553542256,TRUE,8,"weak","gamma_poisson"
"survival_110",0.789181706522253,0.779938688188243,0.00610181419340689,0.768134678130591,0.779729261415706,0.791781086703717,TRUE,8,"weak","gamma_poisson"
"growth_increment_50",12,11.6490213934744,0.302124887030441,11.0457156545961,11.6489996996609,12.2310884193191,TRUE,8,"weak","gamma_poisson"
"growth_increment_80",8.4,8.09803149119792,0.212422537731003,7.66891599489635,8.10432500126229,8.50071273178955,TRUE,8,"weak","gamma_poisson"
"growth_increment_110",4.8,4.54704158892137,0.159566970569004,4.21643321942447,4.55169907290609,4.84404937275525,TRUE,8,"weak","gamma_poisson"
