"transitions","prior_regime","coverage","mean_contraction","median_contraction","mean_abs_standardized_bias","max_abs_standardized_bias","max_rhat","min_ess"
2,"informative",0.9,0.609564297840995,0.692399974150774,0.860914786344161,4.09262144323205,1.02754143084181,242.027610277046
4,"informative",0.9,0.750536751309098,0.803939471542243,0.965896949565144,4.17133862979721,1.03087497641851,201.240145345316
8,"informative",0.7,0.865441361851138,0.891708533119731,1.7864832175135,6.31170204200392,1.01419684580175,245.798403155501
12,"informative",0.6,0.901292955919912,0.919294918286002,1.99833544397583,7.15922238138476,1.02737164205847,248.978717109622
2,"informative_wrong",0.8,0.632427117759884,0.721268284408644,1.34178185677492,3.88251495740426,1.30544412484974,25.3274276267617
4,"informative_wrong",0.9,0.770362030006474,0.813829197570809,1.10235698958464,3.79503110120166,1.01413126017739,274.313988111707
8,"informative_wrong",0.5,0.86569828104451,0.890216172763749,1.95784074444331,6.27890799452766,1.02694924997349,208.280977425137
12,"informative_wrong",0.6,0.898058301482945,0.914206364043622,2.13767032864503,7.44308873022915,1.0273672647019,194.35691168878
2,"weak",0.8,0.862160636611106,0.889925757891338,0.880602809021396,2.8016016206198,1.06231306902817,74.7984286225723
4,"weak",0.9,0.930032423571126,0.947116391715846,1.09923811776716,3.88395418923175,1.03144623073163,211.203908914572
8,"weak",0.6,0.964352815441658,0.970677564707198,1.83350994883823,6.45837231819512,1.01224928449402,211.046631505934
12,"weak",0.6,0.973661911410534,0.977930420656483,2.03015304209568,7.51534778274534,1.03377409524336,208.100734949792
