"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","transitions","prior_regime"
"survival_50",0.354343693774205,0.339852892449236,0.0138048169265692,0.315023151931458,0.339609510948734,0.367128953816612,TRUE,2,"weak"
"survival_80",0.589040434058665,0.576697252465352,0.0164032084288638,0.546822519588672,0.57531401226415,0.611824313822294,TRUE,2,"weak"
"survival_110",0.789181706522253,0.782256606335048,0.0222015464836687,0.740347380465342,0.78225665833468,0.824836475633249,TRUE,2,"weak"
"growth_increment_50",12,12.2420550988488,0.807729358479395,10.4672270856842,12.2828761277689,13.656882748673,TRUE,2,"weak"
"growth_increment_80",8.4,8.29145190628517,0.571148967252139,7.04665970627462,8.30800338704954,9.37057596312583,TRUE,2,"weak"
"growth_increment_110",4.8,4.34084871372156,0.515442548771212,3.3572979474907,4.33782252001568,5.3917900589566,TRUE,2,"weak"
"growth_sd.log_growth_sd",4.5,4.71754652257176,0.539811379357103,3.76508234802574,4.66223134697674,5.86634104428273,TRUE,2,"weak"
"recruitment_50",0.019387103915861,0.022845136271153,0.0146180093016819,0.00490605160870037,0.0193865337316766,0.0626709918962777,TRUE,2,"weak"
"recruitment_80",0.183939720585721,0.201347027555714,0.0637506735020915,0.0943469840481674,0.196582753390736,0.342909555004482,TRUE,2,"weak"
"recruitment_110",1.74517147873092,1.94283820407593,0.0937604589050988,1.73987352635987,1.95132385281086,2.10221367893701,TRUE,2,"weak"
"recruit_mean_50",44,49.648573161741,2.19539630484608,46.0561382565718,49.6034007373514,54.2803176936516,FALSE,2,"weak"
"recruit_mean_80",44.6,47.5612009307806,1.25084910593895,45.5499302779812,47.4936859809143,50.2915079986102,FALSE,2,"weak"
"recruit_mean_110",45.2,45.4738286998203,0.391415000190042,44.8364427160825,45.4224311662681,46.3798888363637,TRUE,2,"weak"
"recruit_sd.log_recruit_sd",3.5,3.66530266195677,0.188963316596778,3.26912831623513,3.67769569477193,3.97490495842476,TRUE,2,"weak"
"lambda",1.0294523184952,1.00620190738288,0.0151861623289145,0.976254908677594,1.00616015629286,1.03575270761966,TRUE,2,"weak"
"survival_50",0.354343693774205,0.361649038003104,0.00894205114130533,0.344257867726866,0.361611112568241,0.379687152160302,TRUE,4,"weak"
"survival_80",0.589040434058665,0.590754047249622,0.00892079909082256,0.573369574328258,0.591046868251124,0.608755453998997,TRUE,4,"weak"
"survival_110",0.789181706522253,0.786097976647747,0.0112227030706709,0.763771473547773,0.786141786172465,0.80712665756878,TRUE,4,"weak"
"growth_increment_50",12,11.4667203618412,0.433401053279678,10.6295036958248,11.4551003351177,12.3205281448193,TRUE,4,"weak"
"growth_increment_80",8.4,7.87452571124187,0.306805622161104,7.25898440142289,7.87008761934215,8.49387812342241,TRUE,4,"weak"
"growth_increment_110",4.8,4.28233106064259,0.257279175891737,3.79653895505864,4.28606631292534,4.78152318292498,FALSE,4,"weak"
"growth_sd.log_growth_sd",4.5,4.71737551183056,0.340243657799817,4.06067770988671,4.7172750259871,5.44486289433085,TRUE,4,"weak"
"recruitment_50",0.019387103915861,0.016122100879869,0.00549749243486731,0.00709794337740018,0.0155794616418543,0.0286757132131977,TRUE,4,"weak"
"recruitment_80",0.183939720585721,0.172888708321184,0.0320846908782184,0.111228668567101,0.172388813092351,0.238108246255208,TRUE,4,"weak"
"recruitment_110",1.74517147873092,1.90003782653745,0.0729571147901526,1.73483832224329,1.90903678453402,2.028469869277,TRUE,4,"weak"
"recruit_mean_50",44,42.8200890254888,0.936193031969005,40.847101987785,42.8271768700039,44.6307411907037,TRUE,4,"weak"
"recruit_mean_80",44.6,43.9150887045867,0.542933427176531,42.8107051934835,43.9173579205842,44.9653133570495,TRUE,4,"weak"
"recruit_mean_110",45.2,45.0100883836845,0.169423088997391,44.6350738369312,45.0166080290513,45.3181517466807,TRUE,4,"weak"
"recruit_sd.log_recruit_sd",3.5,3.78742334173782,0.0763756405190301,3.63972871253252,3.78790627894359,3.92810389958833,FALSE,4,"weak"
"lambda",1.0294523184952,1.02260838027679,0.00611737177046557,1.01034658126568,1.02277357060578,1.03456199410791,TRUE,4,"weak"
"survival_50",0.354343693774205,0.365768539704506,0.00687501715744165,0.353291219844203,0.365646691660457,0.379030436847288,TRUE,8,"weak"
"survival_80",0.589040434058665,0.587595520405701,0.00581549888569064,0.576530077129958,0.587620381003555,0.598832353471302,TRUE,8,"weak"
"survival_110",0.789181706522253,0.778749573949512,0.0057062632898284,0.768189721646707,0.778884043153084,0.789631022054981,TRUE,8,"weak"
"growth_increment_50",12,11.6144845445034,0.282483407478878,11.0261869280203,11.6253983054848,12.134200177747,TRUE,8,"weak"
"growth_increment_80",8.4,8.05462776936797,0.194362259780174,7.66768121903825,8.06413897094309,8.4082496833735,TRUE,8,"weak"
"growth_increment_110",4.8,4.49477099423253,0.147447187113001,4.21025119928886,4.49627093643452,4.7700324537253,FALSE,8,"weak"
