"transitions","prior_regime","coverage","mean_relative_error"
2,"informative",0.866666666666667,0.037876592085661
4,"informative",0.866666666666667,0.0326309369289169
8,"informative",0.666666666666667,0.0534158445722262
12,"informative",0.466666666666667,0.0500540638858067
2,"informative_wrong",0.733333333333333,0.0869764985136212
4,"informative_wrong",0.866666666666667,0.0498103642342073
8,"informative_wrong",0.466666666666667,0.0612471202507739
12,"informative_wrong",0.466666666666667,0.0547206143756247
2,"weak",0.866666666666667,0.050722904690858
4,"weak",0.866666666666667,0.0404797376073644
8,"weak",0.6,0.0565854167717442
12,"weak",0.466666666666667,0.0515098194546316
