"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","design","process_model"
"survival_at_80",0.36,0.405465108108164,1.5,0.364264446825211,0.0157157748919233,0.334600374105984,0.363931834257216,0.395658684319785,TRUE,0.989522816738718,0.271348174336802,1.02088440658416,194.343833544355,"one_by_twelve","poisson"
"survival_slope_20",0.64,0.5,1,0.619697234885276,0.00894310043465899,0.602788014313305,0.619397217934121,0.63797252176834,FALSE,0.991056899565341,-2.27021548768937,1.00660001926752,424.72695731396,"one_by_twelve","poisson"
"growth_increment_80",8.4,8,6,8.29018326763461,0.126697703156616,8.01520845985087,8.30079112259905,8.5183361224122,TRUE,0.978883716140564,-0.866761824637382,1.03217616440809,144.593462795125,"one_by_twelve","poisson"
"growth_slope_20",-2.4,-2,3,-2.37392355388119,0.0432315551478301,-2.45878804356413,-2.37295898277146,-2.28937659000682,TRUE,0.98558948161739,0.603180848563992,1.0344372441923,165.323597845094,"one_by_twelve","poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.4300388987638,0.0460675235118736,1.33918873673147,1.42831810923642,1.51703515292993,TRUE,0.934189252125895,-1.60717339175817,1.00154581819288,290.549547420957,"one_by_twelve","poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.93643348649528,0.0751330915058952,-2.07975841074514,-1.93444866201199,-1.78652979371369,FALSE,0.949911272329403,-3.23807128202946,1.01658266581653,236.735469249884,"one_by_twelve","poisson"
"recruitment_slope_20",1.5,1,1,1.59706613602566,0.0372766296819997,1.52194149074489,1.59693097296197,1.67030643813284,FALSE,0.962723370318,2.60394077613021,1.01451564048493,239.170567608747,"one_by_twelve","poisson"
"recruit_mean_80",44.6,45,10,44.402100562227,0.227175698728448,43.9715280921922,44.4000661640098,44.8608830129351,TRUE,0.977282430127155,-0.871129433652757,1.00557732708496,352.720133951036,"one_by_twelve","poisson"
"recruit_mean_slope_20",0.4,0,2,0.442333132439431,0.0852381488895235,0.274800979737719,0.442484604612908,0.607173254193973,TRUE,0.957380925555238,0.496645375233323,1.00636264908961,389.869456784496,"one_by_twelve","poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.2390590679878,0.009402641110733,1.21983256846586,1.23915392579888,1.25686924137185,TRUE,0.986567655556096,-1.45745225689024,1.01595762916415,385.407167155664,"one_by_twelve","poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.36664476915136,0.0181614879131348,0.332214468571798,0.366404535541617,0.40548891387873,TRUE,0.987892341391243,0.365871407846186,1.02998808444657,125.828710515082,"one_by_twelve","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.615569000353688,0.0112767856843777,0.59351069624308,0.615643835038089,0.637881484966458,FALSE,0.988723214315622,-2.16648611848298,1.00897154022024,243.435936095772,"one_by_twelve","gamma_poisson"
