"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"standard","one_step_gamma_poisson","recruitment",27,0.777777777777778,-0.0331091715347908,0.450971699439102,0.144092280946935,2.13753484215885
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","recruitment",30,0.7,0.0146633718612763,0.107491366705736,0.0220992974032939,1.88401316162023
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","recruitment",30,0.4,-0.0364472076656047,0.0905878147342269,0.0228948252972668,2.31315671298502
"standard","one_step_gamma_poisson_fixed_recruitment_slope","recruitment",30,0.8,-0.0164515683689207,0.103960404049203,0.0537543928885741,1.05230551642133
"dense_profiles","one_step_gamma_poisson_shape_informed","recruitment",30,0.633333333333333,0.0350882611046724,0.088494794505624,0.0367627294037831,1.4337710345965
"rich_design","one_step_gamma_poisson_shape_informed","recruitment",30,0.6,0.0131959665846921,0.0927868213222258,0.0389710372303324,1.40597402488108
"standard","one_step_gamma_poisson_shape_informed","recruitment",30,0.766666666666667,0.0362709835045407,0.102647302082223,0.0738372242130687,1.0149090509061
"dense_profiles","one_step_shared_gamma_poisson","recruitment",30,0.533333333333333,0.0398604625842673,0.0895747135638082,0.0390105163529821,1.66272643011381
"rich_design","one_step_shared_gamma_poisson","recruitment",30,0.5,0.0189472779533844,0.0982697974499232,0.0379496567740065,1.60419488477659
"standard","one_step_shared_gamma_poisson","recruitment",30,0.733333333333333,0.0452507510635318,0.20416089581745,0.111437586054595,1.24645392790845
"dense_profiles","recursive_gamma_poisson","recruitment",30,0.7,0.0234153397484739,0.0818274446918405,0.0432185409558564,1.36495265546076
"rich_design","recursive_gamma_poisson","recruitment",30,0.533333333333333,0.0156736184291631,0.108473893132124,0.0365458612115727,2.11097326198625
"standard","recursive_gamma_poisson","recruitment",27,0.777777777777778,0.0114120243063959,0.111104351592837,0.0761227219455224,1.42940583066749
"dense_profiles","one_step_gamma_poisson","survival",30,1,-0.000990918935950122,0.0132755074512212,0.0212615180011141,0.480209486642784
"rich_design","one_step_gamma_poisson","survival",30,0.666666666666667,0.0265760561436687,0.0430267098586262,0.0203197542799598,1.5600254173574
"standard","one_step_gamma_poisson","survival",27,1,0.0087629685731935,0.0288439745651753,0.0434012810117874,0.565599865674119
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","survival",30,1,-0.000467503860992293,0.0134833620912627,0.0216590159410577,0.463121013802924
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","survival",30,0.666666666666667,0.0238338973418138,0.0350620430626201,0.0208542003099245,1.39964312682719
"standard","one_step_gamma_poisson_fixed_recruitment_slope","survival",30,0.966666666666667,0.0198422463920095,0.0401990632507242,0.0477348871806009,0.690455077889836
"dense_profiles","one_step_gamma_poisson_shape_informed","survival",30,1,-0.00083984445615137,0.0128071514231127,0.0213474306071086,0.46489379706011
"rich_design","one_step_gamma_poisson_shape_informed","survival",30,0.7,0.0210227655134002,0.0325143716088473,0.0205655948242096,1.31556331294787
"standard","one_step_gamma_poisson_shape_informed","survival",30,0.966666666666667,0.0144482878281957,0.0341913220857028,0.0459881898026184,0.642027851521559
"dense_profiles","one_step_shared_gamma_poisson","survival",30,1,0.00104156575376977,0.0157578090324368,0.0236626004852563,0.481293738664157
"rich_design","one_step_shared_gamma_poisson","survival",30,0.766666666666667,0.0231379642883628,0.0310846031089481,0.023579983041369,1.17028668964964
"standard","one_step_shared_gamma_poisson","survival",30,0.966666666666667,0.0186057058846573,0.0299398920331118,0.050861667827179,0.507862934183561
"dense_profiles","recursive_gamma_poisson","survival",30,1,-0.00126544634239661,0.011727560801175,0.0131691865764519,0.711731216989395
"rich_design","recursive_gamma_poisson","survival",30,0.9,0.00467085305390616,0.0118464483670158,0.00984275389074146,0.944256934208083
"standard","recursive_gamma_poisson","survival",27,0.962962962962963,-0.000611500438611179,0.0209993654255071,0.0249663271782765,0.71507525105676
