"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_sd","contraction","scenario","replicate","method","group"
"survival_at_80",0.36,0.347620343390664,0.117654916490909,0.112087012802828,0.343403795476698,0.577622118277806,TRUE,-0.105220053513805,1.5,0.921563389006061,"standard",1,"recursive_gamma_poisson","survival"
"survival_slope_20",0.64,0.664755342416533,0.0879555826826569,0.486790219376342,0.668231244151851,0.840112562935903,TRUE,0.281452770381271,1,0.912044417317343,"standard",1,"recursive_gamma_poisson","survival"
"growth_increment_80",8.4,8.30675604077057,1.13599692690332,5.94047267392933,8.27125949978558,10.4951345295404,TRUE,-0.0820811720711359,6,0.810667178849447,"standard",1,"recursive_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.79406032669719,0.440979489702688,-3.63509318984769,-2.8199798712633,-1.90038453862333,TRUE,-0.893602391718637,3,0.85300683676577,"standard",1,"recursive_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.83987720517287,0.131529503263547,1.60407905706099,1.8420496328352,2.11196028878149,FALSE,2.55303791213863,0.7,0.812100709623504,"standard",1,"recursive_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-0.843279849613545,0.188183460777796,-1.22165046686786,-0.846189508304419,-0.474899248273411,FALSE,4.5161637873687,1.5,0.874544359481469,"standard",1,"recursive_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,0.95805317847557,0.16613824845197,0.627891173752826,0.954282676609557,1.29967446573551,FALSE,-3.26202320401316,1,0.83386175154803,"standard",1,"recursive_gamma_poisson","recruitment"
"recruit_mean_80",44.6,45.4147317147594,0.848043389289372,43.8020516597294,45.4508741737596,47.1904175551201,TRUE,0.96071937479767,10,0.915195661071063,"standard",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.0319034379686125,0.726360623049904,-1.33055023844827,0.0240486237439806,1.440544050067,TRUE,-0.506768332905758,2,0.636819688475048,"standard",1,"recursive_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.32596656055857,0.0541142804614927,1.22617133793698,1.32221031926394,1.42845858578682,TRUE,1.35275922434736,0.7,0.92269388505501,"standard",1,"recursive_gamma_poisson","recruit_size"
"log_process_precision",NA,3.0003566352741,0.431715755289106,2.15545400439677,2.98372306840413,3.75640219799164,NA,NA,2,0.784142122355447,"standard",1,"recursive_gamma_poisson","process"
