"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"baseline","full",0,1,0.10205116415856,TRUE,0.0759437482220605,NA
"baseline","full",0,10,0.0401909097284998,TRUE,0.0604904112453594,NA
"baseline","full",0,2,0.0493199529063696,FALSE,0.088085401716443,NA
"baseline","full",0,3,0.255901616372677,TRUE,0.0674619942038834,NA
"baseline","full",0,4,0.139070979018575,TRUE,0.0593669103930443,NA
"baseline","full",0,5,0.0421618955685283,FALSE,0.0718436699373825,NA
"baseline","full",0,6,0.0669689277774685,TRUE,0.0582329846554304,NA
"baseline","full",0,7,0.0535379224249202,TRUE,0.069625805642316,NA
"baseline","full",0,8,0.0176109581991379,TRUE,0.0780074164608452,NA
"baseline","full",0,9,0.230054272120673,FALSE,0.0690897344843986,NA
"baseline","full",0.25,1,0.160455700955372,TRUE,0.0758097245344666,NA
"baseline","full",0.25,10,0.0133824936432154,TRUE,0.0678222541395332,NA
"baseline","full",0.25,2,0.0473189858020723,FALSE,0.087829743453129,NA
"baseline","full",0.25,3,0.260918325605485,TRUE,0.0677353713294876,NA
"baseline","full",0.25,4,0.076942297029763,TRUE,0.0646286303281899,NA
"baseline","full",0.25,5,0.0261154032794132,FALSE,0.0702049921611575,NA
"baseline","full",0.25,6,0.0646359361146043,FALSE,0.0812625177395224,NA
"baseline","full",0.25,7,0.0920443660338727,FALSE,0.0753591867296532,NA
"baseline","full",0.25,8,0.075700114933826,FALSE,0.0805509196594555,NA
"baseline","full",0.25,9,0.171954429734869,FALSE,0.0701125898823061,NA
"baseline","full",0.5,1,0.112028807909503,FALSE,0.0847096807642746,NA
"baseline","full",0.5,10,0.0380262140050939,FALSE,0.0691159102566869,NA
"baseline","full",0.5,2,0.0433373848994787,FALSE,0.0861158477465282,NA
"baseline","full",0.5,3,0.256355784880012,FALSE,0.0704024680404759,NA
"baseline","full",0.5,4,0.0457077339071009,FALSE,0.0721752189197825,NA
"baseline","full",0.5,5,0.075779136533801,FALSE,0.0721719495637014,NA
"baseline","full",0.5,6,0.0754965550823751,FALSE,0.0828445999020014,NA
"baseline","full",0.5,7,0.108531968655121,FALSE,0.0767547975642269,NA
"baseline","full",0.5,8,0.0340986518761073,FALSE,0.0762372921908625,NA
"baseline","full",0.5,9,0.114280519208337,FALSE,0.0787456817532941,NA
"baseline","full",0.75,1,0.135279894876859,FALSE,0.0883355729561484,NA
"baseline","full",0.75,10,0.0300288064058126,FALSE,0.0699093623296079,NA
"baseline","full",0.75,2,0.0585031733081777,FALSE,0.09088915729923,NA
"baseline","full",0.75,3,0.23833555683706,FALSE,0.069852946146099,NA
"baseline","full",0.75,4,0.0588448367970009,FALSE,0.0687221018871331,NA
"baseline","full",0.75,5,0.0683755578863828,FALSE,0.0782296318584756,NA
"baseline","full",0.75,6,0.123250076571873,FALSE,0.0850972426783716,NA
"baseline","full",0.75,7,0.0541886233640687,FALSE,0.0796059047686728,NA
"baseline","full",0.75,8,0.0368506555051388,FALSE,0.0793433849470715,NA
"baseline","full",0.75,9,0.174124217192354,FALSE,0.0770235537129014,NA
"baseline","full",1,1,0.115515138226279,FALSE,0.086736736985109,NA
"baseline","full",1,10,0.0784323974327105,FALSE,0.0780348367112062,NA
"baseline","full",1,2,0.110076449542508,FALSE,0.0932759704997801,NA
"baseline","full",1,3,0.209157798238174,FALSE,0.0760360712843396,NA
"baseline","full",1,4,0.0514508582079662,FALSE,0.0764437640259926,NA
"baseline","full",1,5,0.104705271695723,FALSE,0.0757561493203295,NA
"baseline","full",1,6,0.0787027444481727,FALSE,0.0884328282498197,NA
"baseline","full",1,7,0.0922796422353038,FALSE,0.088487249366676,NA
"baseline","full",1,8,0.114973372083147,FALSE,0.087627797429591,NA
"baseline","full",1,9,0.133306927136278,FALSE,0.0805348968941923,NA
"baseline","full",1.5,1,0.175121702002447,FALSE,0.0867155130436051,NA
"baseline","full",1.5,10,0.129477269604874,FALSE,0.090564912466752,NA
"baseline","full",1.5,2,0.146066675981455,FALSE,0.0975506032843734,NA
"baseline","full",1.5,3,0.166981257999078,FALSE,0.0832787995671178,NA
"baseline","full",1.5,4,0.134296548506719,FALSE,0.0941864253175004,NA
"baseline","full",1.5,5,0.150825755501565,FALSE,0.0885635544440024,NA
"baseline","full",1.5,6,0.185989499425172,FALSE,0.107635012733772,NA
"baseline","full",1.5,7,0.135460169235647,FALSE,0.0828569092219943,NA
"baseline","full",1.5,8,0.106034033620484,FALSE,0.0916545044564763,NA
"baseline","full",1.5,9,0.152504505142645,FALSE,0.0829496792089804,NA
"baseline","none",NA,1,0.345782652921991,FALSE,0.213841299458589,NA
"baseline","none",NA,2,0.27151073161482,FALSE,0.225172050248638,NA
"baseline","none",NA,3,0.403915298045334,TRUE,0.158765445770349,NA
"baseline","none",NA,4,0.243834399297291,FALSE,0.122836548355661,NA
"baseline","none",NA,5,0.109201934013496,FALSE,0.203496688419442,NA
"baseline","none",NA,6,0.0764577746938274,TRUE,0.571148340446509,NA
"baseline","none",NA,7,0.171578947370984,TRUE,0.247006948424639,NA
"baseline","none",NA,8,0.128093798834553,FALSE,0.26008573453609,NA
"baseline","none",NA,9,0.313849516836706,TRUE,0.231100776273152,NA
"baseline","robust",0,1,0.337539824737766,FALSE,0.220663554504176,0.0021501302856821
"baseline","robust",0,2,0.277978842722521,FALSE,0.222852179003827,0.00244898230376852
