"data_id","truth_name","replicate","borrowing","bias_multiplier","robust_weight","positive_definite","failed"
8,"low_survival",3,"robust",1,0.990343888087771,TRUE,FALSE
8,"low_survival",3,"full",1,NA,TRUE,FALSE
8,"low_survival",3,"robust",0,0.936436646608368,TRUE,FALSE
8,"low_survival",3,"full",1.5,NA,TRUE,FALSE
8,"low_survival",3,"full",0,NA,TRUE,FALSE
8,"low_survival",3,"full",0.5,NA,TRUE,FALSE
8,"low_survival",3,"robust",0.75,0.991716789074483,TRUE,FALSE
8,"low_survival",3,"full",0.75,NA,TRUE,FALSE
8,"low_survival",3,"robust",0.5,0.258738439634022,TRUE,FALSE
8,"low_survival",3,"robust",0.25,0.995250139103325,TRUE,FALSE
9,"flatter_fecundity",3,"robust",0.5,0.415266933384874,TRUE,FALSE
9,"flatter_fecundity",3,"robust",0.25,0.867482987727767,TRUE,FALSE
9,"flatter_fecundity",3,"full",0.75,NA,TRUE,FALSE
9,"flatter_fecundity",3,"robust",0,0.291993320022736,TRUE,FALSE
9,"flatter_fecundity",3,"full",0,NA,TRUE,FALSE
9,"flatter_fecundity",3,"full",0.5,NA,TRUE,FALSE
9,"flatter_fecundity",3,"full",0.25,NA,TRUE,FALSE
9,"flatter_fecundity",3,"robust",0.75,0.306311066630664,TRUE,FALSE
9,"flatter_fecundity",3,"robust",1.5,2.85347552727121e-09,TRUE,FALSE
9,"flatter_fecundity",3,"none",NA,NA,TRUE,FALSE
9,"flatter_fecundity",3,"robust",1,0.00875698265822012,TRUE,FALSE
9,"flatter_fecundity",3,"full",1,NA,TRUE,FALSE
9,"flatter_fecundity",3,"full",1.5,NA,TRUE,FALSE
10,"baseline",4,"robust",0,0.982900881665564,TRUE,FALSE
10,"baseline",4,"none",NA,NA,TRUE,FALSE
10,"baseline",4,"full",0.25,NA,TRUE,FALSE
10,"baseline",4,"full",1,NA,TRUE,FALSE
10,"baseline",4,"robust",1.5,6.72124098559418e-05,TRUE,FALSE
10,"baseline",4,"full",0,NA,TRUE,FALSE
10,"baseline",4,"robust",1,0.04778776919635,TRUE,FALSE
10,"baseline",4,"robust",0.25,0.882724915198046,TRUE,FALSE
10,"baseline",4,"robust",0.75,0.667857992469013,TRUE,FALSE
10,"baseline",4,"full",1.5,NA,TRUE,FALSE
10,"baseline",4,"robust",0.5,0.0193177738357727,TRUE,FALSE
10,"baseline",4,"full",0.5,NA,TRUE,FALSE
10,"baseline",4,"full",0.75,NA,TRUE,FALSE
11,"low_survival",4,"full",0.5,NA,TRUE,FALSE
11,"low_survival",4,"full",0.75,NA,TRUE,FALSE
11,"low_survival",4,"robust",0.5,0.705333140739938,TRUE,FALSE
11,"low_survival",4,"full",0,NA,TRUE,FALSE
11,"low_survival",4,"robust",0.25,0.668881700090858,TRUE,FALSE
11,"low_survival",4,"robust",0.75,0.0802326165417935,TRUE,FALSE
11,"low_survival",4,"robust",0,0.670346520169927,TRUE,FALSE
11,"low_survival",4,"full",1.5,NA,TRUE,FALSE
11,"low_survival",4,"none",NA,NA,TRUE,FALSE
11,"low_survival",4,"full",0.25,NA,TRUE,FALSE
11,"low_survival",4,"full",1,NA,TRUE,FALSE
11,"low_survival",4,"robust",1.5,0.0170218792872407,TRUE,FALSE
11,"low_survival",4,"robust",1,0.0541558593170595,TRUE,FALSE
12,"flatter_fecundity",4,"full",0,NA,TRUE,FALSE
12,"flatter_fecundity",4,"full",0.25,NA,TRUE,FALSE
12,"flatter_fecundity",4,"robust",0,0.989691691053358,TRUE,FALSE
12,"flatter_fecundity",4,"robust",1.5,7.33313805171236e-11,TRUE,FALSE
12,"flatter_fecundity",4,"none",NA,NA,TRUE,FALSE
12,"flatter_fecundity",4,"robust",0.25,0.982315281149938,TRUE,FALSE
12,"flatter_fecundity",4,"full",1,NA,TRUE,FALSE
12,"flatter_fecundity",4,"full",0.75,NA,TRUE,FALSE
12,"flatter_fecundity",4,"full",1.5,NA,TRUE,FALSE
12,"flatter_fecundity",4,"robust",1,1.43020000827963e-06,TRUE,FALSE
12,"flatter_fecundity",4,"full",0.5,NA,TRUE,FALSE
12,"flatter_fecundity",4,"robust",0.75,0.908392236491727,TRUE,FALSE
12,"flatter_fecundity",4,"robust",0.5,0.330525515406856,TRUE,FALSE
13,"baseline",5,"robust",0.75,0.997033970557978,TRUE,FALSE
13,"baseline",5,"robust",0.5,0.997412301940043,TRUE,FALSE
13,"baseline",5,"full",0.5,NA,TRUE,FALSE
13,"baseline",5,"robust",0.25,0.992910359195844,TRUE,FALSE
13,"baseline",5,"full",0.75,NA,TRUE,FALSE
13,"baseline",5,"full",1.5,NA,TRUE,FALSE
13,"baseline",5,"full",0,NA,TRUE,FALSE
13,"baseline",5,"robust",1,0.997922494688577,TRUE,FALSE
13,"baseline",5,"full",0.25,NA,TRUE,FALSE
13,"baseline",5,"robust",0,0.995610864197848,TRUE,FALSE
13,"baseline",5,"robust",1.5,0.982134398016905,TRUE,FALSE
13,"baseline",5,"none",NA,NA,TRUE,FALSE
13,"baseline",5,"full",1,NA,TRUE,FALSE
14,"low_survival",5,"robust",0.25,0.999906674871399,TRUE,FALSE
14,"low_survival",5,"robust",0,0.999906844061996,TRUE,FALSE
14,"low_survival",5,"full",0,NA,TRUE,FALSE
14,"low_survival",5,"none",NA,NA,TRUE,FALSE
14,"low_survival",5,"full",0.25,NA,TRUE,FALSE
14,"low_survival",5,"full",0.75,NA,TRUE,FALSE
14,"low_survival",5,"robust",1.5,0.990595694866797,TRUE,FALSE
14,"low_survival",5,"robust",0.5,0.999867385302511,TRUE,FALSE
14,"low_survival",5,"robust",1,0.998398507724402,TRUE,FALSE
14,"low_survival",5,"full",1,NA,TRUE,FALSE
14,"low_survival",5,"robust",0.75,0.988659706801788,TRUE,FALSE
14,"low_survival",5,"full",1.5,NA,TRUE,FALSE
