"scenario","replicate","total_profile_counts"
"parent_excitation_sparse",85,11525
"parent_excitation_dense",85,44649
"parent_excitation_sparse",86,11251
"parent_excitation_dense",86,44627
"parent_excitation_sparse",87,11053
"parent_excitation_dense",87,46174
"parent_excitation_sparse",88,11359
"parent_excitation_dense",88,43537
"parent_excitation_sparse",89,11289
"parent_excitation_dense",89,45590
"parent_excitation_sparse",90,11775
"parent_excitation_dense",90,47188
"parent_excitation_sparse",91,11637
"parent_excitation_dense",91,46234
"parent_excitation_sparse",92,11416
"parent_excitation_dense",92,44917
"parent_excitation_sparse",93,11356
"parent_excitation_dense",93,44555
"parent_excitation_sparse",94,11689
"parent_excitation_dense",94,45598
"parent_excitation_sparse",95,11008
"parent_excitation_dense",95,46719
"parent_excitation_sparse",96,11267
"parent_excitation_dense",96,43812
"parent_excitation_sparse",97,11255
"parent_excitation_dense",97,46907
"parent_excitation_sparse",98,11558
"parent_excitation_dense",98,45828
"parent_excitation_sparse",99,10996
"parent_excitation_dense",99,45306
"parent_excitation_sparse",100,11122
"parent_excitation_dense",100,46181
