"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_sd","contraction","scenario","replicate","method","group"
"survival_at_80",0.36,0.317663027451034,0.0776990975300633,0.174608595155607,0.318499398119247,0.46608574773938,TRUE,-0.544883710297722,1.5,0.948200601646624,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.617467762023636,0.0498606491873902,0.523954710851415,0.616916293762292,0.720326932623278,TRUE,-0.451904223943858,1,0.95013935081261,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"growth_increment_80",8.4,8.49936899065692,0.17136279417925,8.17777861494214,8.50819204368047,8.82390030014567,TRUE,0.579874943874791,6,0.971439534303458,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.35035393666625,0.082847152352575,-2.51413275265417,-2.34502569923968,-2.18733088612792,TRUE,0.599248880908645,3,0.972384282549142,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.46770938623647,0.0334053957726134,1.40677230048622,1.46730334672314,1.52841121995193,TRUE,-1.08868671358819,0.7,0.952278006039124,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.75947509165458,0.0601859103970131,-1.87354668397446,-1.75924278530883,-1.63787971883488,TRUE,-1.10205047422406,1.5,0.959876059735325,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,1.51764386170315,0.0233277150530826,1.47099159386451,1.5178921419785,1.56230747538762,TRUE,0.756347617544176,1,0.976672284946917,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruitment"
"recruit_mean_80",44.6,44.755843771103,0.244484346574946,44.3004294509741,44.7700889415165,45.214193054882,TRUE,0.637438647039015,10,0.975551565342505,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.359360042419424,0.0907533585907994,0.187313876115863,0.363705987524979,0.531267208091906,TRUE,-0.44780665103337,2,0.9546233207046,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.27002650082349,0.0119292493349833,1.24817835162077,1.27012069237443,1.29306975043985,TRUE,1.44715998830643,0.7,0.982958215235738,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"log_process_precision",NA,6.82316958812195,1.03387745032621,4.77548955633318,6.91352734581923,8.79674643499527,NA,NA,2,0.483061274836894,"parent_excitation_sparse",1,"one_step_gamma_poisson","process"
"survival_at_80",0.36,0.333359289643199,0.08668257859568,0.172027606711393,0.332942896644432,0.502920026249148,TRUE,-0.307336385100668,1.5,0.942211614269547,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","survival"
"survival_slope_20",0.64,0.628903930283024,0.0584506623927687,0.521724039763768,0.628003765515825,0.745244037648983,TRUE,-0.189836509335237,1,0.941549337607231,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","survival"
"growth_increment_80",8.4,8.52882096285847,0.168128540593988,8.1812461705343,8.53468385122633,8.84690286787584,TRUE,0.766205204680595,6,0.971978576567669,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","growth"
"growth_slope_20",-2.4,-2.40150677226425,0.087090917229135,-2.55674430307082,-2.40519040781818,-2.2347341089414,TRUE,-0.017301141292251,3,0.970969694256955,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","growth"
"log_growth_sd",1.50407739677627,1.46534511571825,0.0313057737789014,1.40215517418215,1.46666907552338,1.52457023447492,TRUE,-1.23722484330116,0.7,0.955277466030141,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","growth"
"log_recruitment_at_80",-1.69314718055995,-1.79094983792078,0.0823780592402725,-1.94653131036274,-1.79371706129262,-1.64509222201556,TRUE,-1.18724158183402,1.5,0.945081293839818,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruitment"
"recruitment_slope_20",1.5,1.5213412226618,0.0364799224945824,1.45451869917877,1.52128437781826,1.59317959069669,TRUE,0.585012829042283,1,0.963520077505418,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruitment"
"recruit_mean_80",44.6,44.7662063004421,0.226390971697292,44.3209943091154,44.7607031162929,45.2029660590203,TRUE,0.734156045163942,10,0.977360902830271,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruit_size"
"recruit_mean_slope_20",0.4,0.363745692873813,0.0846220025328908,0.20055844263265,0.363178113243999,0.530800898155273,TRUE,-0.428426485323318,2,0.957688998733555,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruit_size"
"log_recruit_sd",1.25276296849537,1.27082252747223,0.0112794012023844,1.24955566807285,1.27076489559782,1.29273474568761,TRUE,1.60110972673302,0.7,0.983886569710879,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","recruit_size"
"log_process_precision",NA,7.27024243692667,1.0193638509125,5.18306984710057,7.28947980895857,9.2430923844996,NA,NA,2,0.490318074543751,"parent_excitation_sparse",1,"one_step_finite_population_overdispersed","process"
"survival_at_80",0.36,0.34836773677622,0.0431526370209907,0.266131180527354,0.348624949753754,0.440332013100222,TRUE,-0.269560889595728,1.5,0.97123157531934,"parent_excitation_dense",1,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.639652981611597,0.0269638604714285,0.586884908285395,0.639769102822826,0.690973543841393,TRUE,-0.01286975908998,1,0.973036139528571,"parent_excitation_dense",1,"one_step_gamma_poisson","survival"
