"scenario","replicate","method","success","error","positive_definite","condition_number"
"rich_design",6,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,753.605069137306
"standard",7,"ungated_weak",TRUE,"",TRUE,12735.3283602184
"standard",7,"maturity_weak",TRUE,"",TRUE,1339.92691456317
"standard",7,"maturity_shape_informed",TRUE,"",TRUE,1753.22781806431
"standard",7,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,695.744093052577
"dense_profiles",7,"ungated_weak",TRUE,"",TRUE,5974.13795210687
"dense_profiles",7,"maturity_weak",TRUE,"",TRUE,7607.02520733598
"dense_profiles",7,"maturity_shape_informed",TRUE,"",TRUE,6983.86704733958
"dense_profiles",7,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1483.00191506971
"rich_design",7,"ungated_weak",TRUE,"",TRUE,1928.13316864113
"rich_design",7,"maturity_weak",TRUE,"",TRUE,2639.14605164138
"rich_design",7,"maturity_shape_informed",TRUE,"",TRUE,2682.27342277695
"rich_design",7,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,981.333244886835
"standard",8,"ungated_weak",TRUE,"",TRUE,1528.55492344924
"standard",8,"maturity_weak",TRUE,"",TRUE,1891.17407726506
"standard",8,"maturity_shape_informed",TRUE,"",TRUE,2012.36761614266
"standard",8,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,821.317551320527
"dense_profiles",8,"ungated_weak",TRUE,"",TRUE,6266.14093118998
"dense_profiles",8,"maturity_weak",TRUE,"",TRUE,6249.28656748664
"dense_profiles",8,"maturity_shape_informed",TRUE,"",TRUE,6250.12994761721
"dense_profiles",8,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1715.83070210879
"rich_design",8,"ungated_weak",TRUE,"",TRUE,1971.58852006268
"rich_design",8,"maturity_weak",TRUE,"",TRUE,2325.86479972505
"rich_design",8,"maturity_shape_informed",TRUE,"",TRUE,2356.65606993862
"rich_design",8,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,854.554377343371
"standard",9,"ungated_weak",TRUE,"",TRUE,335.42624144317
"standard",9,"maturity_weak",TRUE,"",TRUE,588.139104754257
"standard",9,"maturity_shape_informed",TRUE,"",TRUE,638.779750064381
"standard",9,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,240.741379595389
