"scenario","method","quantity","n","coverage","rmse","mean_posterior_sd"
"standard","maturity_weak","recruit_mean_110",10,1,0.201385309285826,0.264023963821596
"dense_profiles","ungated_weak","recruit_mean_110",10,1,0.178409360535785,0.176126256987212
"rich_design","ungated_weak","recruit_mean_110",10,1,0.123008566999694,0.131694126323261
"standard","ungated_weak","recruit_mean_110",10,0.9,1.26745814099521,0.772627568533397
"dense_profiles","maturity_fixed_recruitment_slope","recruit_mean_50",10,1,0.950290548777004,1.36930003351346
"rich_design","maturity_fixed_recruitment_slope","recruit_mean_50",10,1,0.622763871286062,0.879906086608023
"standard","maturity_fixed_recruitment_slope","recruit_mean_50",10,1,1.00963433045635,1.78539491908138
"dense_profiles","maturity_shape_informed","recruit_mean_50",10,1,1.07113308589522,1.32891725085598
"rich_design","maturity_shape_informed","recruit_mean_50",10,1,0.71276721648727,0.854744718358122
"standard","maturity_shape_informed","recruit_mean_50",10,1,0.865952222274416,1.7994188839507
"dense_profiles","maturity_weak","recruit_mean_50",10,1,1.12189193188611,1.31129516733014
"rich_design","maturity_weak","recruit_mean_50",10,1,0.737850213941462,0.874789852634756
"standard","maturity_weak","recruit_mean_50",10,1,0.934685253722692,1.76967694063507
"dense_profiles","ungated_weak","recruit_mean_50",10,1,1.00100848812743,1.12435189530493
"rich_design","ungated_weak","recruit_mean_50",10,1,0.71288266253501,0.752364567594718
"standard","ungated_weak","recruit_mean_50",10,0.9,1.11748732924441,1.32005543516475
"dense_profiles","maturity_fixed_recruitment_slope","recruit_mean_80",10,1,0.539267490064742,0.777623548072157
"rich_design","maturity_fixed_recruitment_slope","recruit_mean_80",10,1,0.381781849443823,0.520879616089151
"standard","maturity_fixed_recruitment_slope","recruit_mean_80",10,1,0.593658718748375,1.02337308668309
"dense_profiles","maturity_shape_informed","recruit_mean_80",10,1,0.59984441735417,0.749280929784015
"rich_design","maturity_shape_informed","recruit_mean_80",10,1,0.39865567992005,0.4998174495853
"standard","maturity_shape_informed","recruit_mean_80",10,1,0.457027508252841,0.988661706362085
"dense_profiles","maturity_weak","recruit_mean_80",10,1,0.635677106601957,0.733999853385061
"rich_design","maturity_weak","recruit_mean_80",10,1,0.410161200931066,0.511303501689279
"standard","maturity_weak","recruit_mean_80",10,1,0.477254159042062,0.926188745919259
"dense_profiles","ungated_weak","recruit_mean_80",10,0.9,0.557195713598552,0.61729701820416
"rich_design","ungated_weak","recruit_mean_80",10,1,0.388332095319621,0.420189074938709
"standard","ungated_weak","recruit_mean_80",10,1,0.98501931294884,0.822185458676275
"dense_profiles","maturity_fixed_recruitment_slope","recruit_sd.log_recruit_sd",10,1,0.117108061965307,0.100849326760908
"rich_design","maturity_fixed_recruitment_slope","recruit_sd.log_recruit_sd",10,0.7,0.169527536233213,0.092094215237687
"standard","maturity_fixed_recruitment_slope","recruit_sd.log_recruit_sd",10,0.6,0.447183994501764,0.225034858885801
"dense_profiles","maturity_shape_informed","recruit_sd.log_recruit_sd",10,0.9,0.113066970459997,0.0991297875902743
"rich_design","maturity_shape_informed","recruit_sd.log_recruit_sd",10,0.7,0.149343384869103,0.0915785839249701
"standard","maturity_shape_informed","recruit_sd.log_recruit_sd",10,0.8,0.355558947100429,0.214898106966651
"dense_profiles","maturity_weak","recruit_sd.log_recruit_sd",10,1,0.114398150987623,0.0975538472950215
"rich_design","maturity_weak","recruit_sd.log_recruit_sd",10,0.7,0.150557740073669,0.0920982454231189
"standard","maturity_weak","recruit_sd.log_recruit_sd",10,0.9,0.338911747946888,0.21082034295113
"dense_profiles","ungated_weak","recruit_sd.log_recruit_sd",10,1,0.112366969010279,0.101475470189065
"rich_design","ungated_weak","recruit_sd.log_recruit_sd",10,0.7,0.14492847152271,0.0925066478002887
"standard","ungated_weak","recruit_sd.log_recruit_sd",10,1,0.291919069986614,0.221492797479458
"dense_profiles","maturity_fixed_recruitment_slope","recruitment_110",10,0.3,0.260037532148563,0.0749291097116163
"rich_design","maturity_fixed_recruitment_slope","recruitment_110",10,0.6,0.267160970245463,0.0812214295736811
"standard","maturity_fixed_recruitment_slope","recruitment_110",10,0.5,0.442774365196606,0.176892410989562
"dense_profiles","maturity_shape_informed","recruitment_110",10,0.6,0.241748278367833,0.117613020770597
"rich_design","maturity_shape_informed","recruitment_110",10,0.5,0.284785502113582,0.126360620652047
"standard","maturity_shape_informed","recruitment_110",10,0.8,0.32301768444208,0.206213211009427
"dense_profiles","maturity_weak","recruitment_110",10,0.6,0.256433303065551,0.120555804586563
"rich_design","maturity_weak","recruitment_110",10,0.5,0.295347786751889,0.126828550400542
"standard","maturity_weak","recruitment_110",10,0.8,0.321499123685695,0.209401847462777
"dense_profiles","ungated_weak","recruitment_110",10,0.3,0.354196108059621,0.0921419025268974
"rich_design","ungated_weak","recruitment_110",10,0.5,0.265799098801636,0.0928621061401567
