"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"standard","one_step_shared_gamma_poisson","recruit_size",40,0.9,0.0567210308821202,0.82360259428589,0.745161281741176,1.00334525958521
"dense_profiles","recursive_gamma_poisson","recruit_size",40,0.975,-0.0039267506255441,0.52324373273407,0.707176286306331,0.558766819165775
"diverse_initial","recursive_gamma_poisson","recruit_size",40,0.925,0.262759329576119,0.846512888718401,0.638930587989428,0.866831831175903
"longer_followup","recursive_gamma_poisson","recruit_size",40,0.925,0.329173237165757,1.29044068430199,0.789214248584508,0.873483322127353
"standard","recursive_gamma_poisson","recruit_size",40,0.925,0.165728390290682,0.897932120660149,0.909168051523125,0.911762647780786
"dense_profiles","recursive_poisson","recruit_size",40,0.9,-0.0197524941783283,0.63082437160768,0.56610429347591,0.740264972587406
"diverse_initial","recursive_poisson","recruit_size",40,0.95,0.208899562062523,0.796359410688585,0.606680611674905,0.85931155027116
"longer_followup","recursive_poisson","recruit_size",40,0.9,0.345866529412395,1.48661267861406,0.690160362496525,0.99237427802949
"standard","recursive_poisson","recruit_size",36,0.916666666666667,0.185790936716303,0.956310090240958,0.82251581384208,1.07657346763535
"dense_profiles","one_step_gamma_poisson","recruitment",27,0.703703703703704,-0.0451875996660656,0.132320608168765,0.0445795226943835,1.82073924809959
"diverse_initial","one_step_gamma_poisson","recruitment",30,0.6,0.103961235409731,0.191797553990339,0.0766000681899524,1.65380498388785
"longer_followup","one_step_gamma_poisson","recruitment",30,0.366666666666667,-0.021249944030759,0.600453125819528,0.0665656088744123,7.47840865482852
"standard","one_step_gamma_poisson","recruitment",30,0.566666666666667,-0.0483486046530198,0.448697722242155,0.141025333680561,3.25553979899775
"dense_profiles","one_step_poisson","recruitment",27,0.62962962962963,-0.0550014878776603,0.149094612405804,0.0341832202181995,3.0903839133031
"diverse_initial","one_step_poisson","recruitment",30,0.566666666666667,0.0980933637976486,0.182680625637009,0.06384940018056,1.9509948244406
"longer_followup","one_step_poisson","recruitment",24,0.291666666666667,0.0474100364783508,0.416742620176891,0.0538872037744481,4.90560942129748
"standard","one_step_poisson","recruitment",30,0.466666666666667,-0.0712597457324533,0.485387866064527,0.0657088689563865,5.76795763387059
"dense_profiles","one_step_shared_gamma_poisson","recruitment",27,0.703703703703704,-0.0412529760132487,0.133806765453178,0.0438972103147498,2.06922600511066
"diverse_initial","one_step_shared_gamma_poisson","recruitment",27,0.592592592592593,0.101064521044364,0.184857181529322,0.0774768483316306,1.61315418466835
"longer_followup","one_step_shared_gamma_poisson","recruitment",30,0.266666666666667,0.161408342823391,0.241214108352001,0.0758180976959984,2.47959997946951
"standard","one_step_shared_gamma_poisson","recruitment",30,0.533333333333333,-0.0269072725246711,0.390460069536963,0.108585095744936,2.62787024812202
"dense_profiles","recursive_gamma_poisson","recruitment",30,0.633333333333333,-0.077420874766899,0.210112901159809,0.0496932458617285,3.94564524643816
"diverse_initial","recursive_gamma_poisson","recruitment",30,0.5,0.0859703051538053,0.214723993586296,0.0630036560542864,2.50346187076041
"longer_followup","recursive_gamma_poisson","recruitment",30,0.633333333333333,-0.0355635179571406,0.35390849323822,0.0503942118810785,72.6475549423067
"standard","recursive_gamma_poisson","recruitment",30,0.4,-0.0518198669769422,0.236114513026391,0.0741593372208516,3.27309189241936
"dense_profiles","recursive_poisson","recruitment",30,0.5,-0.0995789485002995,0.250279910426416,0.0362084917057263,11.0318496416037
"diverse_initial","recursive_poisson","recruitment",30,0.433333333333333,0.0831857445424722,0.226639881206132,0.0560802020126824,2.97778811804717
"longer_followup","recursive_poisson","recruitment",30,0.5,-0.0523268314442946,0.35406325517105,0.0399520272115115,106.303039566154
"standard","recursive_poisson","recruitment",27,0.333333333333333,-0.0574770761792127,0.247238211360205,0.0671885158773353,4.39193368384602
"dense_profiles","one_step_gamma_poisson","survival",27,1,0.00338094326349918,0.0129939452187197,0.022001639957759,0.486810196701818
"diverse_initial","one_step_gamma_poisson","survival",30,0.966666666666667,-0.00747207595248002,0.0335393305447787,0.0344367985030779,0.834754486338324
"longer_followup","one_step_gamma_poisson","survival",30,0.8,0.0195773635859988,0.0417810835591902,0.0345717862028584,1.08005820056381
"standard","one_step_gamma_poisson","survival",30,0.9,0.014034055512849,0.041181232808038,0.0449148497254484,0.753503079119447
"dense_profiles","one_step_poisson","survival",27,1,0.00482430055904752,0.0140676913239414,0.0210802481864906,0.555636748565023
"diverse_initial","one_step_poisson","survival",30,0.866666666666667,-0.00517178662525072,0.0351591274011748,0.0327818868430808,0.949345924450362
"longer_followup","one_step_poisson","survival",24,0.583333333333333,0.0387636712255594,0.0633532176856506,0.0328129784230437,1.80696042908106
"standard","one_step_poisson","survival",30,0.933333333333333,0.0137458722195799,0.041107115386741,0.0423784246532084,0.78425779350936
"dense_profiles","one_step_shared_gamma_poisson","survival",27,1,0.00542507992608286,0.0148398863052025,0.0249314488596717,0.506299671373222
"diverse_initial","one_step_shared_gamma_poisson","survival",27,1,-0.00980253406420458,0.0320209658313421,0.0404286707161972,0.648755711419353
"longer_followup","one_step_shared_gamma_poisson","survival",30,0.8,0.0484760563242845,0.0573995355781589,0.0427750701323639,1.32298010760656
"standard","one_step_shared_gamma_poisson","survival",30,0.966666666666667,0.0219453579491856,0.0409410046794771,0.0492590991743633,0.711488879978114
"dense_profiles","recursive_gamma_poisson","survival",30,0.933333333333333,0.00376912680469466,0.0135069800644125,0.0136341983696149,0.826008860389882
"diverse_initial","recursive_gamma_poisson","survival",30,0.866666666666667,-0.00602896423878297,0.0225507507955651,0.0175233950922048,1.09323038759245
"longer_followup","recursive_gamma_poisson","survival",30,0.866666666666667,0.00317407169956515,0.0223930573242434,0.0152636471365317,1.19886107731727
"standard","recursive_gamma_poisson","survival",30,0.866666666666667,0.00672757542170567,0.0321113690414392,0.0250853464123867,1.00068832671672
"dense_profiles","recursive_poisson","survival",30,0.933333333333333,0.00310982406000294,0.013587790938206,0.0119946725562287,0.963216299868393
"diverse_initial","recursive_poisson","survival",30,0.833333333333333,-0.00694350888508026,0.0221225735319797,0.016369571968759,1.16471044671189
"longer_followup","recursive_poisson","survival",30,0.733333333333333,0.00495930421717406,0.0223886403875051,0.0137919039014328,1.33591776319448
"standard","recursive_poisson","survival",27,0.888888888888889,0.0103604383377201,0.0351241738624822,0.0243514681774921,1.13800961297844
