"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_80",9,0.888888888888889,-0.120855568359295,0.398487433863939,0.461254171718559,0.897636528206555
"diverse_initial","one_step_shared_gamma_poisson","growth_increment_80",9,1,-0.137149948596549,0.448958757414058,0.527695091847103,0.744036178624627
"longer_followup","one_step_shared_gamma_poisson","growth_increment_80",10,0.6,-1.45593469991076,1.68519364452597,0.70127839813684,3.73776198089535
"standard","one_step_shared_gamma_poisson","growth_increment_80",10,0.9,-0.468176787918292,0.910508578641355,0.976564643400117,0.921515250756158
"dense_profiles","recursive_gamma_poisson","growth_increment_80",10,0.9,-0.205792037512441,0.516928131594852,0.429675576864359,1.11716659968896
"diverse_initial","recursive_gamma_poisson","growth_increment_80",10,0.9,0.0803351949052162,0.387732239105808,0.361945922534012,0.896468850877343
"longer_followup","recursive_gamma_poisson","growth_increment_80",10,1,-0.0567012701976052,0.389757311617697,0.471299857089247,0.739267955543972
"standard","recursive_gamma_poisson","growth_increment_80",10,0.7,-0.141920743622684,0.750583916591916,0.797720381465277,0.892772367739461
"dense_profiles","recursive_poisson","growth_increment_80",10,0.7,-0.228277464550646,0.59215333733772,0.358278823987114,1.5721612090316
"diverse_initial","recursive_poisson","growth_increment_80",10,0.9,0.0477359717136353,0.363180590938183,0.342465005366802,0.836531175356873
"longer_followup","recursive_poisson","growth_increment_80",10,1,0.0254302435485358,0.410284589634586,0.430460189355538,0.87117274050126
"standard","recursive_poisson","growth_increment_80",9,0.666666666666667,-0.201648513639751,0.914892583361964,0.74395091508646,1.35832552992185
"dense_profiles","one_step_gamma_poisson","growth_sd.log_growth_sd",9,1,0.198031941499094,0.506627750053094,0.539987801742612,0.699112043363458
"diverse_initial","one_step_gamma_poisson","growth_sd.log_growth_sd",10,0.2,1.18365931959586,1.33039243332387,0.484605799622293,2.43689866507713
"longer_followup","one_step_gamma_poisson","growth_sd.log_growth_sd",10,0,2.59288502664184,2.7018136156898,0.568262833044086,4.72036054838895
"standard","one_step_gamma_poisson","growth_sd.log_growth_sd",10,0.3,2.07956217177582,2.35508959292366,0.926128368952188,2.18464369284037
"dense_profiles","one_step_poisson","growth_sd.log_growth_sd",9,0.888888888888889,0.304497224894958,0.608123123510748,0.537980639560501,0.87694286521282
"diverse_initial","one_step_poisson","growth_sd.log_growth_sd",10,0.2,1.2291257412626,1.40918872321668,0.468438220951005,2.6175178261327
"longer_followup","one_step_poisson","growth_sd.log_growth_sd",8,0,2.83807061381907,2.90228281760775,0.466706035892699,6.16733268194233
"standard","one_step_poisson","growth_sd.log_growth_sd",10,0.3,2.0503181123019,2.31530000357745,0.894757769823248,2.27891420149024
"dense_profiles","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",9,0.888888888888889,0.21935162914729,0.509627546290789,0.502943633165716,0.681438926075832
"diverse_initial","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",9,0.222222222222222,0.990078953169141,1.0934469773408,0.461007382096721,2.14590254967751
"longer_followup","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",10,0,2.72043751290266,2.77948906652252,0.50928104531987,5.42324559626111
"standard","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",10,0.3,2.04052875827721,2.28942687552217,0.887746510125135,2.26368793306605
"dense_profiles","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.9,0.0073542562523262,0.600828767627897,0.500494120689081,0.81673569870269
"diverse_initial","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.7,0.406758385366312,0.711794571491437,0.408328514037895,1.4499498877095
"longer_followup","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.7,0.496705499562454,0.773844300158102,0.566996818062871,1.06307944286404
"standard","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.8,0.866800182933616,1.1247321815434,0.850070149359626,1.03406816006884
"dense_profiles","recursive_poisson","growth_sd.log_growth_sd",10,0.9,-0.0250774380278812,0.543043404070132,0.435125595802914,0.858561187783604
"diverse_initial","recursive_poisson","growth_sd.log_growth_sd",10,0.7,0.390721633311162,0.696920582261763,0.396501168114489,1.41497378511171
"longer_followup","recursive_poisson","growth_sd.log_growth_sd",10,0.7,0.482383519929387,0.804224811277166,0.534313799309479,0.999631927075377
"standard","recursive_poisson","growth_sd.log_growth_sd",9,0.777777777777778,0.912734209557166,1.17046893072633,0.819937038249439,1.14809107758185
"dense_profiles","one_step_gamma_poisson","lambda",9,1,0.00259703211834042,0.0211139565783752,0.0297656656314302,0.583272051213469
"diverse_initial","one_step_gamma_poisson","lambda",10,1,-0.0230320037196707,0.0372970808721695,0.045262179118895,0.726793817051257
"longer_followup","one_step_gamma_poisson","lambda",10,1,0.00297479708920561,0.0289482962554704,0.0397742414986546,0.627134752208363
"standard","one_step_gamma_poisson","lambda",10,1,-0.0200118283854189,0.0333257472744074,0.0555043778058925,0.468436451532159
"dense_profiles","one_step_poisson","lambda",9,1,0.00256788374509546,0.0209832330962197,0.0289388763679697,0.585114370633092
"diverse_initial","one_step_poisson","lambda",10,1,-0.0248359478159086,0.0375370163822438,0.0446327477898858,0.713977826751193
"longer_followup","one_step_poisson","lambda",8,0.875,-0.0130883161997547,0.0280753670331725,0.0362680865845641,0.687829870817484
"standard","one_step_poisson","lambda",10,0.9,-0.0266199484975488,0.0382275472805125,0.0481566249269448,0.629550052345111
"dense_profiles","one_step_shared_gamma_poisson","lambda",9,1,0.00728464692120396,0.0191430911201281,0.0341849540386535,0.460442728610595
"diverse_initial","one_step_shared_gamma_poisson","lambda",9,1,-0.0241453492764477,0.0384837924798979,0.0563567770327759,0.588708956106703
"longer_followup","one_step_shared_gamma_poisson","lambda",10,1,0.00728236701146812,0.0231525897455635,0.0510019020984647,0.350974595203529
"standard","one_step_shared_gamma_poisson","lambda",10,1,-0.0124870965912256,0.0282060193334681,0.0683529117244826,0.33455162398066
"dense_profiles","recursive_gamma_poisson","lambda",10,0.6,0.00445444907733528,0.0166558777473621,0.0100459778619338,1.35871032857677
"diverse_initial","recursive_gamma_poisson","lambda",10,0.6,-0.0124721621020905,0.0249468964074245,0.0143742358545834,1.6095526461766
"longer_followup","recursive_gamma_poisson","lambda",10,0.3,0.00338672021335791,0.0206720211498032,0.0070693278986088,2.45811513879233
"standard","recursive_gamma_poisson","lambda",10,0.8,-0.00799662053720281,0.0347052650090824,0.0175315760542089,1.48055924922199
"dense_profiles","recursive_poisson","lambda",10,0.6,0.0048667922556983,0.0191107700846622,0.00831981030394694,1.79498145653854
"diverse_initial","recursive_poisson","lambda",10,0.6,-0.0139690214099493,0.0231107353203277,0.0128306876498938,1.54934316308999
"longer_followup","recursive_poisson","lambda",10,0.3,0.00522787690091806,0.0208068210745106,0.00601259317915443,2.89522995381829
"standard","recursive_poisson","lambda",9,0.666666666666667,-0.00926441902668641,0.0360170765821869,0.0158842614290348,1.80254186797305
