"survival_at_80","survival_slope_20","growth_increment_80","growth_slope_20","log_growth_sd","log_recruitment_at_80","recruitment_slope_20","recruit_mean_80","recruit_mean_slope_20","log_recruit_sd","log_process_precision"
94,37,26,34,52,80,19,62,35,10,16
43,0,95,96,16,0,4,21,58,23,94
74,14,9,13,40,59,74,26,68,12,67
54,43,43,86,4,92,3,63,79,3,30
83,23,64,68,6,41,55,61,38,77,44
14,76,18,51,32,43,66,74,23,37,83
88,84,0,0,86,35,72,10,82,69,72
69,67,44,75,70,73,25,57,72,34,25
59,63,0,34,38,11,61,3,74,4,29
75,95,1,96,3,35,37,45,45,28,77
87,90,2,80,70,6,90,27,61,83,30
62,9,12,40,96,68,31,60,46,30,83
72,91,0,0,90,36,33,49,70,52,98
52,89,29,8,34,97,0,67,5,27,51
59,26,47,42,44,0,99,99,0,84,18
20,97,26,5,14,9,91,30,71,77,71
76,93,8,94,2,85,36,95,26,73,37
74,21,58,26,92,0,99,0,99,98,19
94,0,99,99,2,85,86,37,42,31,19
56,99,28,81,26,15,9,14,26,38,28
94,62,44,56,93,0,99,0,99,0,7
99,99,99,99,88,0,99,24,31,0,99
33,77,26,13,72,43,83,89,33,47,3
54,58,73,73,36,86,0,49,32,34,6
6,41,27,41,43,35,84,55,58,45,82
40,70,82,78,86,42,26,33,2,55,13
63,69,37,84,16,36,68,82,18,21,74
38,76,36,15,68,85,14,53,15,38,89
0,99,0,0,7,99,0,99,0,61,79
96,30,88,9,84,43,54,57,92,8,40
1,60,54,40,44,92,46,32,50,24,79
45,84,1,3,73,3,2,0,4,0,89
32,73,28,74,69,11,58,17,81,19,60
92,42,27,25,15,24,91,59,58,58,17
41,83,11,60,17,33,85,67,58,75,11
24,37,84,81,58,66,30,44,41,61,68
96,87,23,95,62,81,10,25,63,24,42
59,36,61,69,36,63,36,52,45,17,41
30,36,65,55,51,28,38,80,12,42,94
79,26,26,79,63,68,30,23,80,48,97
9,42,97,96,18,76,68,40,48,54,68
87,94,0,50,36,39,59,3,95,14,94
99,16,0,99,0,99,0,0,99,0,99
7,9,93,89,77,70,2,86,2,79,90
72,52,43,76,43,0,0,4,1,57,81
25,5,89,77,95,5,5,7,31,30,13
0,0,99,99,0,73,40,99,99,99,99
58,62,16,66,79,69,28,64,8,3,15
17,67,35,50,45,22,80,92,41,57,94
42,88,41,11,40,38,67,41,50,50,17
48,88,21,43,86,21,93,25,71,38,73
80,66,68,92,37,27,26,88,87,13,26
40,97,1,0,62,19,2,18,4,12,3
27,90,65,90,6,90,7,92,13,21,5
66,84,12,92,17,28,36,14,87,32,52
79,82,18,30,71,70,44,17,85,19,51
86,27,26,47,66,0,95,4,85,24,48
1,98,80,0,99,98,12,34,97,9,16
