"quantity","posterior_mean","posterior_sd","q025","q500","q975"
"survival_50",0.893747907044526,0.0715279081704044,0.702394569505952,0.909957777558186,0.97887159015347
"survival_80",0.778990622443627,0.0742204218263924,0.603181182930442,0.786201992974049,0.900070620135123
"survival_110",0.570237570868043,0.0675518956926947,0.436973260499434,0.569164897790248,0.698009368238943
"growth_increment_50",5.96923000654874,3.24607949582395,0,5.96271620217531,12.6251527679998
"growth_increment_80",4.45001526010734,1.4612520949283,1.6736447898685,4.4583990709443,7.34857420505086
"growth_increment_110",2.98260517609486,1.19445023232327,0.615737825612471,2.94955473521101,5.33337427254024
"growth_sd.log_growth_sd",3.57907893283542,1.08950061659064,1.90683147897269,3.39825820362585,6.2334474939711
"recruitment_50",0.0882756920518094,0.405438754114069,0.000739045380742028,0.0193426035740758,0.6327351205388
"recruitment_80",0.135315295283287,0.0896130095181906,0.0364088117721527,0.11318787437105,0.365494401213076
"recruitment_110",0.974688581871349,1.02766264170269,0.10955211136116,0.670552800979322,3.71464831355944
"recruit_mean_50",47.7412396978719,3.18925670593815,41.391883378,47.8202778814709,53.8587231582442
"recruit_mean_80",48.4427179880734,1.57018435012307,45.3947795570153,48.4567917372679,51.4250651163596
"recruit_mean_110",49.1441962782749,2.1176696746354,45.1052375747397,49.1663800540564,53.298751719067
"recruit_sd.log_recruit_sd",2.79103768701707,0.920034164523058,1.39681254459138,2.64331202162966,4.96369725094115
"lambda",0.999651699027833,0.260218277877769,0.822499994436903,0.964829736652017,1.44898237418482
