"alpha","angle","ridge_corr","recruit_contraction","survival_contraction","lambda_relerr","recruit80_relerr"
0,0,-0.999178869334616,0.383420670692323,0.97666105437442,0.00192721064995721,0.766775243582393
0.1,2.67703159892073,-0.999677178789482,0.421632308107777,0.983999796960653,0.00151856925032393,1.35388853743823
0.2,5.38403126399069,-0.99995424604245,-0.351212889700175,0.951091551202898,0.00189401532762038,1.05256611219609
0.3,8.10926956204415,-0.999079380620921,0.597448288901439,0.982743248242166,0.00219066215954065,1.10955216983697
0.4,10.8405312801894,-0.998396475170662,0.789430402923862,0.979252116377849,0.00257997222180988,1.1217733251414
0.5,13.5654386326881,-0.9985512222985,0.728604665556081,0.980024423306283,0.00167182375157619,0.862918989316857
0.6,16.2717853080124,-0.998876633849101,0.692563232895244,0.982240293928869,0.00111102186465171,0.557901328228
0.7,18.9478590851237,-0.996548818401995,0.817288716596967,0.979796961302435,0.00226775130216478,0.658993763010528
0.8,21.5827321475792,-0.992219312830938,0.743004823454388,0.98008031602564,0.00538721200438079,0.419421511275276
0.9,24.1665020809936,-0.993405908347631,0.825071537858556,0.978984673157784,0.00715737940644098,0.147022401484415
1,26.6904721322694,-0.307946892577396,0.972158023683835,0.97670369095116,0.0088668119854672,0.033075071388085
