"scenario_id","design","initial_n","profile_detection","parameter","posterior_mean_mcmc","posterior_mean_laplace","posterior_sd_mcmc","posterior_sd_laplace","mean_difference_in_mcmc_sd","sd_ratio_laplace_to_mcmc","coverage_mcmc","coverage_laplace","max_rhat","min_ess"
1,"one_by_twelve",500,0.25,"growth_increment_80",8.43674241369527,8.49443452013266,0.411275050807217,0.409331961437529,0.140276212535021,0.995275450417248,TRUE,TRUE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"growth_slope_20",-2.60303190841597,-2.58122239888343,0.161275617656786,0.159310792275787,0.135231288209705,0.987816971904701,TRUE,TRUE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"log_growth_sd",1.48413435129678,1.48148499697603,0.123699054598256,0.118453635333743,-0.0214177410600553,0.957595316459383,TRUE,TRUE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"log_recruit_sd",1.1597061146203,1.16003506010042,0.0388873218556534,0.0405835394141504,0.00845893891428137,1.04361878055766,FALSE,FALSE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"log_recruitment_at_80",-2.74343409061266,-2.7014773625908,0.271821396387532,0.271113299995554,0.154354030181069,0.997394993913695,FALSE,FALSE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"recruit_mean_80",47.3749205112877,47.2284528978879,0.893708739383412,0.910878281793267,-0.163887413141885,1.01921156373798,FALSE,FALSE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"recruit_mean_slope_20",-0.653316818436661,-0.602693393162361,0.320431462982605,0.323628823136993,0.157985189104378,1.00997829652752,FALSE,FALSE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"recruitment_slope_20",1.86874315361461,1.84592725236773,0.138772087864878,0.137180767985936,-0.164412754739936,0.988532853375446,FALSE,FALSE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"survival_at_80",0.413181472102393,0.411559374297264,0.0542949824476093,0.054582652408866,-0.0298756483933748,1.00529827892539,TRUE,TRUE,1.01882411947802,232.610854720707
1,"one_by_twelve",500,0.25,"survival_slope_20",0.624084062259897,0.616197758679899,0.036340016735104,0.0377621769180673,-0.217014307876737,1.03913482465707,TRUE,TRUE,1.01882411947802,232.610854720707
2,"three_by_four",500,0.25,"growth_increment_80",9.2799407040492,9.36407162181685,0.686275550609841,0.607254222400063,0.12259057996878,0.88485481066671,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"growth_slope_20",-3.04972837863139,-3.11125430376818,0.267143610874166,0.268985198279083,-0.230310299899964,1.00689362324216,FALSE,FALSE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"log_growth_sd",1.41586078488489,1.40261138185621,0.173540152947469,0.167256018704725,-0.0763477662296018,0.963788586468248,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"log_recruit_sd",1.28794048699621,1.30170259153578,0.0706292846449716,0.0637757240998027,0.194849836137361,0.902964321674511,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"log_recruitment_at_80",-1.44869816084238,-1.45558882757237,0.26667845075142,0.291439963197117,-0.0258388584100836,1.09285156853104,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"recruit_mean_80",44.746422000525,44.5589090324442,1.21867942724656,1.18190784794237,-0.153865704046955,0.969826700539887,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"recruit_mean_slope_20",0.545513737042315,0.666524706216984,0.646032223151629,0.626316461035451,0.187314138270572,0.969481766683407,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"recruitment_slope_20",1.33853442085949,1.35321754344267,0.159305611399284,0.173490177382278,0.0921695253180704,1.08903996449593,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"survival_at_80",0.339441306523312,0.330368412758645,0.0948318954427091,0.087538829455349,-0.0956734411171581,0.92309479892484,TRUE,TRUE,1.04211377669247,126.650756433125
2,"three_by_four",500,0.25,"survival_slope_20",0.706118187300517,0.711110568183506,0.0648032941027279,0.0681515096831572,0.0770389985897079,1.05166736701875,TRUE,TRUE,1.04211377669247,126.650756433125
3,"six_by_two",500,0.25,"growth_increment_80",8.02682098358214,8.37228255224729,1.32470044153817,1.491676034461,0.260784670883039,1.12604781253711,TRUE,TRUE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"growth_slope_20",-2.8906375674504,-3.01899096798622,0.504864250814379,0.509856714092709,-0.254233490148648,1.00988872408826,TRUE,TRUE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"log_growth_sd",1.95291380361365,1.93592956373142,0.161071501785374,0.182237138492531,-0.105445343800536,1.13140522359666,FALSE,FALSE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"log_recruit_sd",1.26660684969909,1.29968701918846,0.0792422845122143,0.0702003684807288,0.417456029858341,0.885895313504096,TRUE,TRUE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"log_recruitment_at_80",-0.916782693279156,-0.896028915232675,0.11329416973736,0.124419809925196,0.183184872571938,1.09820134799194,FALSE,FALSE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"recruit_mean_80",45.2679266396802,45.2753785490026,0.478154160935042,0.484097756900827,0.0155847421840395,1.01243029226006,TRUE,TRUE,1.06259775203341,66.2522541250974
3,"six_by_two",500,0.25,"recruit_mean_slope_20",0.141630498423372,0.0931030893104956,0.618167001241904,0.615278572864736,-0.0785021022076312,0.995327430336195,TRUE,TRUE,1.06259775203341,66.2522541250974
