"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
17,"three_by_four",3,4,2500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1101.75922813424,500,0.5,0.466666666666667,2.39589410578748,2.18487705800204
18,"six_by_two",6,2,2500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,3138.12201677588,500,0.8,0.8,1.10876769331668,1.31238258200975
18,"six_by_two",6,2,2500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4072.16873764209,500,0.8,0.866666666666667,1.05461222464199,1.25760021537146
19,"one_by_twelve",1,12,500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,33529.8236432737,500,0.7,0.733333333333333,1.78135894920811,2.58305682623697
19,"one_by_twelve",1,12,500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,25656.2711236552,500,0.7,0.733333333333333,1.5956460057952,2.28757508088893
20,"three_by_four",3,4,500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,3216.56506456643,500,0.8,0.866666666666667,1.31108828636075,1.35500499916684
20,"three_by_four",3,4,500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2953.20779894859,500,0.8,0.8,1.25413610305944,1.24710189786762
21,"six_by_two",6,2,500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,6185.05423387877,500,1,0.933333333333333,0.546556747440299,0.60093766086322
21,"six_by_two",6,2,500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5993.99050756767,500,1,0.933333333333333,0.522717028687874,0.572649923091248
22,"one_by_twelve",1,12,2500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,11429.7572946893,500,0.3,0.266666666666667,2.85459873750682,3.30615876069924
22,"one_by_twelve",1,12,2500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,8208.80138869823,500,0.5,0.4,2.56139076893299,3.00305761692479
23,"three_by_four",3,4,2500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,19211.3874762203,500,0.9,0.866666666666667,0.959000474261091,0.999086722693663
23,"three_by_four",3,4,2500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,16706.2147202897,500,0.8,0.733333333333333,1.2381425211655,1.32413737833664
24,"six_by_two",6,2,2500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,7039.40019480003,500,0.8,0.866666666666667,1.17618530090916,0.99471919529929
24,"six_by_two",6,2,2500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5434.83832007557,500,0.8,0.866666666666667,1.0422257364234,0.859332918183813
25,"one_by_twelve",1,12,500,0.25,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,35498.8363116151,500,0.8,0.866666666666667,1.40300044177244,1.16307511459483
25,"one_by_twelve",1,12,500,0.25,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,20981.7270111441,500,0.6,0.6,1.5697303454969,1.55699787192224
26,"three_by_four",3,4,500,0.25,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,4401.27813203217,500,1,0.933333333333333,1.05550983412531,1.01793239930044
26,"three_by_four",3,4,500,0.25,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4325.57907974648,500,0.8,0.866666666666667,1.02086507289156,0.976665381251788
27,"six_by_two",6,2,500,0.25,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,1254.24486434016,500,0.6,0.666666666666667,2.22454817465081,1.51244454826792
27,"six_by_two",6,2,500,0.25,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1214.62778372285,500,0.7,0.8,2.12320461319415,1.45872477957744
28,"one_by_twelve",1,12,2500,0.25,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,23195.8478953293,500,0.8,0.933333333333333,1.39585416979617,1.46055391040933
28,"one_by_twelve",1,12,2500,0.25,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,19999.6880584397,500,0.9,0.933333333333333,1.24564173028939,1.32387235533279
29,"three_by_four",3,4,2500,0.25,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,2965.77366773847,500,0.6,0.666666666666667,2.72989214196642,1.75860468145541
29,"three_by_four",3,4,2500,0.25,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2353.32010937966,500,0.8,0.866666666666667,1.82920090704464,1.20272639259963
30,"six_by_two",6,2,2500,0.25,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,2498.44918650512,500,0.8,0.733333333333333,1.59593522675335,1.26858948918703
30,"six_by_two",6,2,2500,0.25,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2250.21721251518,500,0.8,0.866666666666667,1.35429789510879,1.06157513800384
31,"one_by_twelve",1,12,500,1,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,32683.7465987465,500,0.4,0.6,2.02811244123897,1.75890418993305
31,"one_by_twelve",1,12,500,1,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,22835.4667239412,500,0.6,0.733333333333333,1.66335363156697,1.32598947021296
32,"three_by_four",3,4,500,1,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,8501.79000545112,500,0.9,0.733333333333333,0.70543260942783,0.890578261786052
32,"three_by_four",3,4,500,1,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5477.779820234,500,1,0.933333333333333,0.729360494305797,0.807900192807697
33,"six_by_two",6,2,500,1,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,16182.1197287007,500,0.9,0.733333333333333,1.03374885313246,1.18449956461632
33,"six_by_two",6,2,500,1,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,14245.9947229294,500,1,0.866666666666667,0.955546230506002,1.04452527364742
34,"one_by_twelve",1,12,2500,1,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,23497.3127566847,500,0.7,0.733333333333333,1.78836333434292,2.57553494202102
34,"one_by_twelve",1,12,2500,1,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,91036.9198074618,500,0.7,0.733333333333333,1.739148615566,2.43361074394379
35,"three_by_four",3,4,2500,1,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,5281.36219605178,500,1,0.933333333333333,0.919118564630225,0.952246154030168
35,"three_by_four",3,4,2500,1,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4501.02373387712,500,0.9,1,0.777288705610651,0.839589534794572
36,"six_by_two",6,2,2500,1,"baseline",2,"poisson",FALSE,NA,"poisson",0,TRUE,12334.4211167769,500,1,1,0.803959768047792,0.916105360153436
36,"six_by_two",6,2,2500,1,"baseline",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,10081.8938502812,500,1,1,0.65343805484402,0.734859720406777
37,"one_by_twelve",1,12,500,0.25,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,5665.57628996638,500,0.6,0.6,1.48466987772967,1.27024791984189
37,"one_by_twelve",1,12,500,0.25,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4729.36392289851,500,0.7,0.666666666666667,1.43275781110754,1.20082536343241
38,"three_by_four",3,4,500,0.25,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,1017.76349845139,500,0.8,0.8,1.43167896529255,1.14415780617004
38,"three_by_four",3,4,500,0.25,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1576.58871243646,500,0.8,0.8,1.45195565648639,1.14449647528737
39,"six_by_two",6,2,500,0.25,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,1176.50012609348,500,0.9,0.866666666666667,0.661535347258656,0.704677108362274
39,"six_by_two",6,2,500,0.25,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1629.02649547384,500,0.9,0.866666666666667,0.640795454475826,0.692207401022428
40,"one_by_twelve",1,12,2500,0.25,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,16910.098441607,500,0.7,0.733333333333333,1.45305309363218,2.62914319457714
40,"one_by_twelve",1,12,2500,0.25,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,22162.357973887,500,0.7,0.733333333333333,1.37194743432689,2.45382668837319
41,"three_by_four",3,4,2500,0.25,"cohort_pulse",2,"poisson",FALSE,NA,"poisson",0,TRUE,2047.40599151724,500,0.8,0.866666666666667,0.905536525434369,0.703328654850209
41,"three_by_four",3,4,2500,0.25,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1733.19577564746,500,0.8,0.866666666666667,0.881049327367265,0.680608350989967
