Location,year,Size
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,74
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,75
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,76
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,77
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,78
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,79
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,80
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,81
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
Salina,2003,82
