"scenario_id","quantity","replicate","accuracy","uncertainty_multiplier","positive_definite","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","interval_width","relative_absolute_error","weak_width","weak_error","width_ratio_to_weak","error_ratio_to_weak"
2,"survival_50",1,"weak",NA,TRUE,0.354343693774205,0.318847659958027,0.0238600513601248,0.276751483938198,0.318285455052351,0.366386797237222,TRUE,-1.48767633734012,0.0896353132990242,0.100174024371932,0.0896353132990242,0.100174024371932,1,1
2,"survival_50",1,"correct",4,TRUE,0.354343693774205,0.320195722634303,0.0255036694654956,0.2723074871774,0.318852323876186,0.370496878344068,TRUE,-1.33894344835755,0.0981893911666672,0.0963696313491096,0.0896353132990242,0.100174024371932,1.09543200723923,0.962022160468493
2,"survival_50",1,"biased",4,TRUE,0.354343693774205,0.318237645471863,0.0246794892972343,0.266984347065584,0.317400965281562,0.366871387993972,TRUE,-1.46299819528224,0.0998870409283876,0.101895557721845,0.0896353132990242,0.100174024371932,1.11437152671251,1.0171854266683
2,"survival_50",1,"biased",0.5,TRUE,0.354343693774205,0.369823180616214,0.0210025905816789,0.3304503605486,0.368509859808495,0.41238564875642,TRUE,0.737027500574728,0.0819352882078193,0.0436849508372314,0.0896353132990242,0.100174024371932,0.914096076559496,0.436090604436888
2,"survival_50",1,"correct",2,TRUE,0.354343693774205,0.323463605253408,0.0238227895083706,0.278251040475049,0.322830264951036,0.370502246252143,TRUE,-1.29624150479718,0.0922512057770941,0.0871472783722635,0.0896353132990242,0.100174024371932,1.02918372661167,0.869958843309498
2,"survival_50",1,"biased",1,TRUE,0.354343693774205,0.334509626011321,0.0237984817329162,0.287837608263888,0.333672204786642,0.38272624132112,TRUE,-0.833417357690125,0.0948886330572326,0.0559740955218534,0.0896353132990242,0.100174024371932,1.05860770230906,0.558768561738415
2,"survival_50",1,"biased",2,TRUE,0.354343693774205,0.322195990893557,0.0243881863147617,0.275790718927739,0.320698528682008,0.372051288232785,TRUE,-1.31816702011944,0.0962605693050465,0.0907246366888426,0.0896353132990242,0.100174024371932,1.07391345845939,0.905670279872103
2,"survival_50",1,"correct",0.5,TRUE,0.354343693774205,0.338876596353382,0.0188038198079544,0.303361171606493,0.338496797072132,0.376897824671199,TRUE,-0.822550820992223,0.0735366530647056,0.0436499864187754,0.0896353132990242,0.100174024371932,0.820398237683252,0.435741567661385
2,"survival_50",1,"correct",1,TRUE,0.354343693774205,0.329344637882825,0.022403716991062,0.287701465413135,0.329063962500121,0.375647887464248,TRUE,-1.11584412092658,0.0879464220511131,0.0705503056230749,0.0896353132990242,0.100174024371932,0.9811581932862,0.704277441835935
2,"survival_80",1,"correct",4,TRUE,0.589040434058665,0.573563731569386,0.024561647833779,0.525586888639518,0.573862942923928,0.61997423137546,TRUE,-0.630116618967021,0.0943873427359421,0.0262744314216943,0.0933098446346793,0.0249197038573934,1.01154752861803,1.05436371042182
2,"survival_80",1,"biased",0.5,TRUE,0.589040434058665,0.622617503489616,0.0157233939998275,0.5920668925798,0.622334423081673,0.652299335904395,FALSE,2.13548483433788,0.060232443324595,0.0570029958717684,0.0933098446346793,0.0249197038573934,0.645510059098407,2.28746682536744
2,"survival_80",1,"biased",1,TRUE,0.589040434058665,0.592986051130753,0.0240747938770981,0.546264259125738,0.593234181614132,0.638343713898223,TRUE,0.163889962764805,0.0920794547724856,0.00669838069502542,0.0933098446346793,0.0249197038573934,0.986813933009846,0.268798567324792
2,"survival_80",1,"biased",2,TRUE,0.589040434058665,0.579529439277316,0.0251052923504528,0.531818282629353,0.579482266636122,0.628310829028209,TRUE,-0.37884421533843,0.0964925463988561,0.0161465906776817,0.0933098446346793,0.0249197038573934,1.03410896006351,0.647944725590756
2,"survival_80",1,"correct",2,TRUE,0.589040434058665,0.575023275448182,0.0243225570437503,0.527298296783731,0.57514145840696,0.623916360518901,TRUE,-0.576302836304173,0.0966180637351697,0.0237965983318003,0.0933098446346793,0.0249197038573934,1.03545412719786,0.954931024380538
2,"survival_80",1,"weak",NA,TRUE,0.589040434058665,0.574361720881893,0.0239409233530785,0.529012424694263,0.574217170829144,0.622322269328942,TRUE,-0.613122266016732,0.0933098446346793,0.0249197038573934,0.0933098446346793,0.0249197038573934,1,1
2,"survival_80",1,"biased",4,TRUE,0.589040434058665,0.57343747726024,0.0259449852630951,0.520638139261501,0.574272821937627,0.624715825993384,TRUE,-0.601386227057105,0.104077686731883,0.0264887703733951,0.0933098446346793,0.0249197038573934,1.11539877854648,1.06296489416491
2,"survival_80",1,"correct",1,TRUE,0.589040434058665,0.580484163329553,0.0219814666608022,0.535920371870972,0.580920668661497,0.622597838880655,TRUE,-0.389249309936638,0.0866774670096829,0.0145257782562688,0.0933098446346793,0.0249197038573934,0.928920923071269,0.582903325793703
2,"survival_80",1,"correct",0.5,TRUE,0.589040434058665,0.587032766161904,0.0148223423391317,0.557165313085702,0.586963179876486,0.616136984820452,TRUE,-0.135448760447342,0.0589716717347497,0.00340837025894489,0.0933098446346793,0.0249197038573934,0.631998391655584,0.136774107688028
2,"survival_110",1,"correct",2,TRUE,0.789181706522253,0.791961875806852,0.0295662180623431,0.730496047921275,0.792690327716162,0.847233243322394,TRUE,0.0940319549405033,0.11673719540112,0.00352285064595697,0.113622200068963,0.00676560443410275,1.0274153759588,0.520700061652979
