"data_id","truth_name","replicate","borrowing","bias_multiplier","robust_weight","positive_definite","failed"
27,"flatter_fecundity",9,"full",0.5,NA,TRUE,FALSE
27,"flatter_fecundity",9,"full",1.5,NA,TRUE,FALSE
27,"flatter_fecundity",9,"none",NA,NA,TRUE,FALSE
27,"flatter_fecundity",9,"full",0,NA,TRUE,FALSE
27,"flatter_fecundity",9,"full",1,NA,TRUE,FALSE
27,"flatter_fecundity",9,"robust",1,0.0111250803543001,TRUE,FALSE
27,"flatter_fecundity",9,"robust",0,0.987695055390834,TRUE,FALSE
27,"flatter_fecundity",9,"robust",0.75,0.531404069152674,TRUE,FALSE
27,"flatter_fecundity",9,"robust",0.5,0.300690153358331,TRUE,FALSE
28,"baseline",10,"robust",0.25,0.00717960119782116,FALSE,FALSE
28,"baseline",10,"full",0.25,NA,TRUE,FALSE
28,"baseline",10,"none",NA,NA,FALSE,FALSE
28,"baseline",10,"robust",0.75,0.00137743533370737,FALSE,FALSE
28,"baseline",10,"full",1,NA,TRUE,FALSE
28,"baseline",10,"full",0.5,NA,TRUE,FALSE
28,"baseline",10,"robust",0,0.0325510739116995,FALSE,FALSE
28,"baseline",10,"robust",1,6.13268370796079e-05,FALSE,FALSE
28,"baseline",10,"full",0,NA,TRUE,FALSE
28,"baseline",10,"full",0.75,NA,TRUE,FALSE
28,"baseline",10,"full",1.5,NA,TRUE,FALSE
28,"baseline",10,"robust",1.5,1.15747626466739e-07,FALSE,FALSE
28,"baseline",10,"robust",0.5,0.00185386899572157,FALSE,FALSE
29,"low_survival",10,"full",0,NA,TRUE,FALSE
29,"low_survival",10,"robust",1.5,0.823648448579751,TRUE,FALSE
29,"low_survival",10,"none",NA,NA,TRUE,FALSE
29,"low_survival",10,"robust",1,0.968841617964668,TRUE,FALSE
29,"low_survival",10,"robust",0.75,0.9739239677467,TRUE,FALSE
29,"low_survival",10,"robust",0,0.93639137728987,TRUE,FALSE
29,"low_survival",10,"robust",0.5,0.932347552161358,TRUE,FALSE
29,"low_survival",10,"full",1.5,NA,TRUE,FALSE
29,"low_survival",10,"robust",0.25,0.888041952734182,TRUE,FALSE
29,"low_survival",10,"full",0.5,NA,TRUE,FALSE
29,"low_survival",10,"full",0.25,NA,TRUE,FALSE
29,"low_survival",10,"full",0.75,NA,TRUE,FALSE
29,"low_survival",10,"full",1,NA,TRUE,FALSE
30,"flatter_fecundity",10,"none",NA,NA,TRUE,FALSE
30,"flatter_fecundity",10,"robust",0.75,0.0101586618886544,TRUE,FALSE
30,"flatter_fecundity",10,"full",0.25,NA,TRUE,FALSE
30,"flatter_fecundity",10,"full",0.75,NA,TRUE,FALSE
30,"flatter_fecundity",10,"robust",0.25,0.970348003458959,TRUE,FALSE
30,"flatter_fecundity",10,"full",0,NA,TRUE,FALSE
30,"flatter_fecundity",10,"robust",0,0.94896119640158,TRUE,FALSE
30,"flatter_fecundity",10,"robust",0.5,0.13002644295212,TRUE,FALSE
30,"flatter_fecundity",10,"full",1.5,NA,TRUE,FALSE
30,"flatter_fecundity",10,"full",0.5,NA,TRUE,FALSE
30,"flatter_fecundity",10,"robust",1,8.95241689695212e-05,TRUE,FALSE
30,"flatter_fecundity",10,"robust",1.5,5.2189967359832e-11,TRUE,FALSE
30,"flatter_fecundity",10,"full",1,NA,TRUE,FALSE
31,"baseline",11,"robust",0.75,0.458785916006995,TRUE,FALSE
31,"baseline",11,"full",0.75,NA,TRUE,FALSE
31,"baseline",11,"robust",1.5,0.975691008726816,TRUE,FALSE
31,"baseline",11,"robust",0.5,0.493638641762288,TRUE,FALSE
31,"baseline",11,"robust",0.25,0.0718764883485731,TRUE,FALSE
31,"baseline",11,"full",0,NA,TRUE,FALSE
31,"baseline",11,"robust",0,0.0310054483473209,TRUE,FALSE
31,"baseline",11,"full",0.25,NA,TRUE,FALSE
31,"baseline",11,"none",NA,NA,TRUE,FALSE
31,"baseline",11,"full",0.5,NA,TRUE,FALSE
31,"baseline",11,"full",1,NA,TRUE,FALSE
31,"baseline",11,"full",1.5,NA,TRUE,FALSE
31,"baseline",11,"robust",1,0.942546340395829,TRUE,FALSE
32,"low_survival",11,"robust",0.25,0.874265267491239,TRUE,FALSE
32,"low_survival",11,"none",NA,NA,TRUE,FALSE
32,"low_survival",11,"full",0,NA,TRUE,FALSE
32,"low_survival",11,"robust",1.5,0.997455357975955,TRUE,FALSE
32,"low_survival",11,"full",0.25,NA,TRUE,FALSE
32,"low_survival",11,"full",1.5,NA,TRUE,FALSE
32,"low_survival",11,"robust",0.75,0.991494263492936,TRUE,FALSE
32,"low_survival",11,"robust",0.5,0.779077024318805,TRUE,FALSE
32,"low_survival",11,"robust",0,0.431312413288161,TRUE,FALSE
32,"low_survival",11,"robust",1,0.982698835445888,TRUE,FALSE
32,"low_survival",11,"full",0.5,NA,TRUE,FALSE
32,"low_survival",11,"full",0.75,NA,TRUE,FALSE
32,"low_survival",11,"full",1,NA,TRUE,FALSE
33,"flatter_fecundity",11,"robust",0.25,0.993558526139206,TRUE,FALSE
33,"flatter_fecundity",11,"full",0.25,NA,TRUE,FALSE
33,"flatter_fecundity",11,"none",NA,NA,TRUE,FALSE
33,"flatter_fecundity",11,"full",0.5,NA,TRUE,FALSE
33,"flatter_fecundity",11,"robust",0,0.994934289118858,TRUE,FALSE
33,"flatter_fecundity",11,"full",1.5,NA,TRUE,FALSE
33,"flatter_fecundity",11,"robust",0.75,0.525364793057425,TRUE,FALSE
33,"flatter_fecundity",11,"robust",1.5,7.46136105432023e-11,TRUE,FALSE
33,"flatter_fecundity",11,"robust",0.5,0.98353020680292,TRUE,FALSE
33,"flatter_fecundity",11,"robust",1,0.254879970444144,TRUE,FALSE
33,"flatter_fecundity",11,"full",0,NA,TRUE,FALSE
33,"flatter_fecundity",11,"full",0.75,NA,TRUE,FALSE
33,"flatter_fecundity",11,"full",1,NA,TRUE,FALSE
34,"baseline",12,"full",1.5,NA,TRUE,FALSE
34,"baseline",12,"none",NA,NA,TRUE,FALSE
34,"baseline",12,"robust",1,0.996663565011278,TRUE,FALSE
34,"baseline",12,"robust",0.75,0.885708850613946,TRUE,FALSE
34,"baseline",12,"robust",0.5,0.990961072054444,TRUE,FALSE
34,"baseline",12,"full",0.75,NA,TRUE,FALSE
34,"baseline",12,"robust",0.25,0.966093630620044,TRUE,FALSE
34,"baseline",12,"robust",1.5,0.996512061035633,TRUE,FALSE
34,"baseline",12,"full",1,NA,TRUE,FALSE
34,"baseline",12,"full",0.25,NA,TRUE,FALSE
34,"baseline",12,"full",0.5,NA,TRUE,FALSE
34,"baseline",12,"robust",0,0.932424069266361,TRUE,FALSE
34,"baseline",12,"full",0,NA,TRUE,FALSE
35,"low_survival",12,"robust",0.5,0.995833584948256,TRUE,FALSE
35,"low_survival",12,"none",NA,NA,TRUE,FALSE
35,"low_survival",12,"robust",0,0.994957591041257,TRUE,FALSE
35,"low_survival",12,"robust",0.25,0.9936854273497,TRUE,FALSE
35,"low_survival",12,"robust",0.75,0.995771776954488,TRUE,FALSE
35,"low_survival",12,"full",0,NA,TRUE,FALSE
35,"low_survival",12,"full",0.75,NA,TRUE,FALSE
35,"low_survival",12,"robust",1.5,0.99277442183975,TRUE,FALSE
35,"low_survival",12,"robust",1,0.986825948601556,TRUE,FALSE
35,"low_survival",12,"full",0.25,NA,TRUE,FALSE
35,"low_survival",12,"full",1,NA,TRUE,FALSE
35,"low_survival",12,"full",1.5,NA,TRUE,FALSE
35,"low_survival",12,"full",0.5,NA,TRUE,FALSE
36,"flatter_fecundity",12,"robust",0.25,0.976691176055699,TRUE,FALSE
36,"flatter_fecundity",12,"full",0.75,NA,TRUE,FALSE
36,"flatter_fecundity",12,"robust",0.5,0.852960123575184,TRUE,FALSE
36,"flatter_fecundity",12,"full",0.25,NA,TRUE,FALSE
36,"flatter_fecundity",12,"robust",1.5,3.17140351028455e-08,TRUE,FALSE
36,"flatter_fecundity",12,"full",1,NA,TRUE,FALSE
36,"flatter_fecundity",12,"full",0,NA,TRUE,FALSE
36,"flatter_fecundity",12,"robust",0,0.994769906359718,TRUE,FALSE
36,"flatter_fecundity",12,"none",NA,NA,TRUE,FALSE
36,"flatter_fecundity",12,"robust",1,0.530160746124697,TRUE,FALSE
36,"flatter_fecundity",12,"full",1.5,NA,TRUE,FALSE
36,"flatter_fecundity",12,"robust",0.75,0.797423799775115,TRUE,FALSE
36,"flatter_fecundity",12,"full",0.5,NA,TRUE,FALSE
37,"baseline",13,"robust",0.75,0.000180139587594269,TRUE,FALSE
37,"baseline",13,"full",0.25,NA,TRUE,FALSE
37,"baseline",13,"robust",1.5,0.0343516558218373,TRUE,FALSE
37,"baseline",13,"robust",0,1.26010387254384e-05,FALSE,FALSE
37,"baseline",13,"full",0.75,NA,TRUE,FALSE
37,"baseline",13,"robust",0.25,4.5430687264537e-06,TRUE,FALSE
37,"baseline",13,"full",0,NA,FALSE,FALSE
37,"baseline",13,"full",1.5,NA,TRUE,FALSE
37,"baseline",13,"robust",1,0.00171472746194679,TRUE,FALSE
37,"baseline",13,"none",NA,NA,TRUE,FALSE
37,"baseline",13,"robust",0.5,6.70665978535394e-06,TRUE,FALSE
37,"baseline",13,"full",0.5,NA,TRUE,FALSE
37,"baseline",13,"full",1,NA,TRUE,FALSE
38,"low_survival",13,"full",0.25,NA,TRUE,FALSE
38,"low_survival",13,"robust",1,0.990007446482017,TRUE,FALSE
38,"low_survival",13,"full",0,NA,TRUE,FALSE
38,"low_survival",13,"robust",0,0.99454501517406,TRUE,FALSE
38,"low_survival",13,"robust",0.25,0.995200808946896,TRUE,FALSE
38,"low_survival",13,"none",NA,NA,TRUE,FALSE
38,"low_survival",13,"full",1.5,NA,TRUE,FALSE
38,"low_survival",13,"robust",0.75,0.985694110314685,TRUE,FALSE
38,"low_survival",13,"robust",0.5,0.99396994207359,TRUE,FALSE
38,"low_survival",13,"full",0.75,NA,TRUE,FALSE
38,"low_survival",13,"full",0.5,NA,TRUE,FALSE
38,"low_survival",13,"full",1,NA,TRUE,FALSE
38,"low_survival",13,"robust",1.5,0.901701239379033,TRUE,FALSE
39,"flatter_fecundity",13,"robust",1,0.87369247098271,TRUE,FALSE
39,"flatter_fecundity",13,"none",NA,NA,TRUE,FALSE
39,"flatter_fecundity",13,"full",0,NA,TRUE,FALSE
39,"flatter_fecundity",13,"full",0.25,NA,TRUE,FALSE
39,"flatter_fecundity",13,"robust",0.5,0.997009746921255,TRUE,FALSE
39,"flatter_fecundity",13,"full",0.75,NA,TRUE,FALSE
39,"flatter_fecundity",13,"full",1.5,NA,TRUE,FALSE
39,"flatter_fecundity",13,"robust",1.5,6.63124663180668e-05,TRUE,FALSE
39,"flatter_fecundity",13,"full",0.5,NA,TRUE,FALSE
39,"flatter_fecundity",13,"robust",0.75,0.992375808246409,TRUE,FALSE
39,"flatter_fecundity",13,"robust",0.25,0.988647577086325,TRUE,FALSE
39,"flatter_fecundity",13,"full",1,NA,TRUE,FALSE
39,"flatter_fecundity",13,"robust",0,0.99071889017849,TRUE,FALSE
40,"baseline",14,"none",NA,NA,TRUE,FALSE
40,"baseline",14,"full",0.75,NA,TRUE,FALSE
40,"baseline",14,"full",0.5,NA,TRUE,FALSE
40,"baseline",14,"robust",0.5,0.990199282321912,TRUE,FALSE
40,"baseline",14,"full",0.25,NA,TRUE,FALSE
40,"baseline",14,"robust",1,0.985700863625544,TRUE,FALSE
40,"baseline",14,"robust",0.25,0.9878757886767,TRUE,FALSE
40,"baseline",14,"full",0,NA,TRUE,FALSE
40,"baseline",14,"full",1,NA,TRUE,FALSE
40,"baseline",14,"full",1.5,NA,TRUE,FALSE
40,"baseline",14,"robust",0.75,0.976776120626025,TRUE,FALSE
40,"baseline",14,"robust",0,0.994048255767398,TRUE,FALSE
40,"baseline",14,"robust",1.5,0.77382789358743,TRUE,FALSE
41,"low_survival",14,"none",NA,NA,TRUE,FALSE
41,"low_survival",14,"full",1,NA,TRUE,FALSE
41,"low_survival",14,"full",0.75,NA,TRUE,FALSE
41,"low_survival",14,"full",0,NA,TRUE,FALSE
41,"low_survival",14,"full",0.25,NA,TRUE,FALSE
41,"low_survival",14,"robust",0.25,0.933669946847581,TRUE,FALSE
41,"low_survival",14,"full",1.5,NA,TRUE,FALSE
41,"low_survival",14,"full",0.5,NA,TRUE,FALSE
41,"low_survival",14,"robust",0,0.868030680985808,TRUE,FALSE
41,"low_survival",14,"robust",1,0.462976345720451,TRUE,FALSE
41,"low_survival",14,"robust",0.75,0.809513252781753,TRUE,FALSE
41,"low_survival",14,"robust",0.5,0.636760151614509,TRUE,FALSE
41,"low_survival",14,"robust",1.5,0.154936552572043,TRUE,FALSE
42,"flatter_fecundity",14,"full",1.5,NA,TRUE,FALSE
42,"flatter_fecundity",14,"robust",0,0.96067102436783,TRUE,FALSE
42,"flatter_fecundity",14,"none",NA,NA,TRUE,FALSE
42,"flatter_fecundity",14,"robust",1,0.235445025818252,TRUE,FALSE
42,"flatter_fecundity",14,"full",0.75,NA,TRUE,FALSE
42,"flatter_fecundity",14,"robust",0.25,0.990018502870116,TRUE,FALSE
42,"flatter_fecundity",14,"full",1,NA,TRUE,FALSE
42,"flatter_fecundity",14,"full",0.5,NA,TRUE,FALSE
42,"flatter_fecundity",14,"robust",0.5,0.488054388094064,TRUE,FALSE
42,"flatter_fecundity",14,"full",0.25,NA,TRUE,FALSE
