"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"baseline","full",0.5,21,0.0556335695852359,FALSE,0.0702315273486881,NA
"baseline","full",0.5,22,0.0565322207936431,FALSE,0.0858688763093677,NA
"baseline","full",0.5,23,0.0413995558415639,FALSE,0.0780268925008619,NA
"baseline","full",0.5,24,0.0366493686883933,TRUE,0.0691870711381106,NA
"baseline","full",0.5,25,0.0799174365400173,FALSE,0.0796612937215551,NA
"baseline","full",0.5,26,0.0700277368763586,FALSE,0.0944452137763845,NA
"baseline","full",0.5,27,0.0421935368751997,FALSE,0.0804459722058154,NA
"baseline","full",0.5,28,0.0437076265160176,FALSE,0.0712072915576799,NA
"baseline","full",0.5,29,0.117993118424783,TRUE,0.0733994941936421,NA
"baseline","full",0.5,3,0.257498228196686,FALSE,0.0672300729421647,NA
"baseline","full",0.5,30,0.159317121514706,FALSE,0.0771787730240546,NA
"baseline","full",0.5,4,0.0475692409165541,FALSE,0.0699800210032009,NA
"baseline","full",0.5,5,0.0729771909550806,FALSE,0.074193455168961,NA
"baseline","full",0.5,6,0.0765093820759799,FALSE,0.0813112455737422,NA
"baseline","full",0.5,7,0.109827513106843,FALSE,0.0797020469850431,NA
"baseline","full",0.5,8,0.0350936196275642,FALSE,0.0756045484114177,NA
"baseline","full",0.5,9,0.115418446881295,FALSE,0.0785628043129251,NA
"baseline","full",0.75,1,0.136395384405125,FALSE,0.0909141367839896,NA
"baseline","full",0.75,10,0.0282868641228707,FALSE,0.0743882990102565,NA
"baseline","full",0.75,11,0.0562181557801416,FALSE,0.0834130066413278,NA
"baseline","full",0.75,12,0.0619132523495618,FALSE,0.0751789681307524,NA
"baseline","full",0.75,13,0.12604580067434,FALSE,0.0885054903135812,NA
"baseline","full",0.75,14,0.106734526212455,FALSE,0.0802936262073611,NA
"baseline","full",0.75,15,0.05974937001,FALSE,0.0898356892742393,NA
"baseline","full",0.75,16,0.124947519363603,FALSE,0.0875095854272445,NA
"baseline","full",0.75,17,0.122483860215946,FALSE,0.0812916098202591,NA
"baseline","full",0.75,18,0.0821962774113156,FALSE,0.0859274743572027,NA
"baseline","full",0.75,19,0.0837335541170576,FALSE,0.0757781360697707,NA
"baseline","full",0.75,2,0.05862894101204,FALSE,0.0915095251796355,NA
"baseline","full",0.75,20,0.0388704528125714,FALSE,0.0714381734196631,NA
"baseline","full",0.75,21,0.073908860814576,FALSE,0.0840810230110387,NA
"baseline","full",0.75,22,0.0648004154075429,FALSE,0.0822469834732897,NA
"baseline","full",0.75,23,0.0991610015317836,FALSE,0.0837038501840807,NA
"baseline","full",0.75,24,0.0513652124234251,FALSE,0.0802596591487824,NA
"baseline","full",0.75,25,0.118862533666525,FALSE,0.0862749212972972,NA
"baseline","full",0.75,26,0.0791107862831867,FALSE,0.0922677979518704,NA
"baseline","full",0.75,27,0.153407920451585,FALSE,0.0788548648643701,NA
"baseline","full",0.75,28,0.0521093380038487,FALSE,0.0763056822463807,NA
"baseline","full",0.75,29,0.127633314193399,FALSE,0.0851080105170227,NA
"baseline","full",0.75,3,0.238519001239387,FALSE,0.0717557722166432,NA
"baseline","full",0.75,30,0.138104724898064,FALSE,0.0840534123708325,NA
