"log_likelihood"
-546.174608245525
-544.079805346466
-544.980081395534
-545.742062715966
-544.121172456918
-545.869822325312
-546.207917646076
-544.389585167685
-544.926036749701
-543.573003427812
-545.427367656168
-545.005422551566
-544.102170429036
-543.799269612374
-545.923801160449
-544.684049269424
-545.317500770663
-546.342444893816
-545.127642085577
-544.763381742239
