"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
"survival_50",0.354343693774205,0.371079156261992,0.0106811545864873,0.346985769654588,0.369052057707002,0.393977451979472,TRUE,1.56682148472597
"survival_80",0.589040434058665,0.579018995023534,0.00813820104696255,0.5645733913768,0.578540773069422,0.600467271747245,TRUE,-1.23140715955543
"survival_110",0.789181706522253,0.762182636287269,0.0102861104700454,0.744387163692874,0.760313695317696,0.783087215216922,FALSE,-2.6248085040122
"growth_increment_50",12,11.6546960014518,0.303874179387619,10.8284326025902,11.7066482391937,11.9599361660734,FALSE,-1.13633872823312
"growth_increment_80",8.4,8.25189465592321,0.16494162883538,7.88012428397289,8.28013309758808,8.4610511479024,TRUE,-0.897925800312106
"growth_increment_110",4.8,4.84909331039462,0.137498322821217,4.61171055941271,4.82428855534791,5.07414706827563,TRUE,0.357046612549982
"growth_sd.log_growth_sd",4.5,4.11637510655556,0.145278318971724,3.90910293140696,4.09782336552664,4.40213124038502,FALSE,-2.64062040474949
"recruitment_50",0.019387103915861,0.0167854278019103,0.00172987931968943,0.0142843840892924,0.0163440335737407,0.0207931293357357,TRUE,-1.50396393802652
"recruitment_80",0.183939720585721,0.167169944716928,0.0101464590542791,0.150045905537491,0.165672702190232,0.190919614805673,TRUE,-1.65277125537901
"recruitment_110",1.74517147873092,1.66799572795035,0.0462318514087345,1.58510178472282,1.66965116130593,1.75299728718092,TRUE,-1.66931992617513
"recruit_mean_50",44,44.460287288873,0.282265364477353,44.1224570093978,44.4140425718012,45.3774713939691,FALSE,1.63068993507336
"recruit_mean_80",44.6,44.7656634643947,0.179007148570467,44.514396061447,44.7145893374735,45.2876102548207,TRUE,0.925457255298006
"recruit_mean_110",45.2,45.0710396399163,0.0969294128209669,44.8755132551193,45.0629123828325,45.2433907492625,TRUE,-1.33045642525312
"recruit_sd.log_recruit_sd",3.5,3.43492989288546,0.048046798696272,3.35752786608296,3.43407047915844,3.58659024554801,TRUE,-1.35430681918857
"lambda",1.03175380246278,1.00816388360259,0.00883970103991753,0.988319278598512,1.01053046702433,1.02499242965865,FALSE,-2.66863310802764
