"","0.5000","0.5333","0.5667","0.6000","0.6333","0.6667","0.7000","0.7333","0.7667","0.8000","0.8333","0.8667","0.9000","0.9333","0.9667","1.0000","1.0333","1.0667","1.1000","1.1333","1.1667","1.2000","1.2333","1.2667","1.3000","1.3333","1.3667","1.4000","1.4333","1.4667","1.5000","1.5333","1.5667","1.6000","1.6333","1.6667","1.7000","1.7333","1.7667","1.8000","1.8333","1.8667","1.9000","1.9333","1.9667","2.0000","2.0333","2.0667","2.1000","2.1333","2.1667","2.2000","2.2333","2.2667","2.3000","2.3333","2.3667","2.4000","2.4333","2.4667","2.5000"
"-2.6931",-80379.8441188627,-78372.4337880579,-76338.7983346827,-74280.2324294799,-72198.0310359038,-70093.4997694795,-67967.9653285839,-65822.7861071541,-63659.3630995384,-61479.1512089645,-59283.6710738901,-57074.5215307854,-54853.3928377105,-52622.0807904163,-50382.5018716852,-48136.7095853264,-45886.9121387615,-43635.4916526187,-41385.0250923727,-39138.3071360116,-36898.3752132188,-34668.5369758855,-32452.4004872296,-30253.9074477226,-28077.3698108196,-25927.5101805881,-23809.5064272317,-21729.0410057867,-19692.3555185489,-17706.311123797,-15778.4554629139,-13917.0968559825,-12131.3866033592,-10431.4103287679,-8828.289409386,-7334.29366168028,-5962.96659001519,-4729.26466015641,-3649.71223378652,-2742.57399538298,-2028.04692190684,-1528.47409167797,-1268.58290491194,-1275.7505984286,-1580.30028526304,-2215.83114110503,-3219.58679907053,-4632.8665083689,-6501.48416786004,-8876.28097007506,-11813.6980937882,-15376.4166736013,-19634.0731644586,-24664.059220222,-30552.4163327563,-37394.8367476026,-45297.7836026061,-54379.7448475623,-64772.6373195184,-76623.3793963997,-90095.652961177
"-2.6598",-79084.1062647292,-77084.63941597,-75058.8694956224,-73008.1380909933,-70933.7868970589,-68837.1684718755,-66719.6570585775,-64582.6595892819,-62427.6269857529,-60256.0658728497,-58069.5508235493,-55869.7372586738,-53658.3751303821,-51437.3235260343,-49208.5663382811,-46974.2291582427,-44736.5975615586,-42498.1369720348,-40261.5143047796,-38029.6216102923,-35805.6019632001,-33592.877864489,-31395.1824544702,-29216.5938657051,-27061.5730811026,-24935.0057028392,-22842.2480831713,-20789.1783191822,-18782.2526706913,-16828.5680247022,-14935.9311016946,-13112.9351797292,-11369.0452027768,-9714.69224110081,-8161.378385239,-6721.79328266965,-5409.94366927827,-4241.29740818892,-3232.94372852229,-2403.77155861276,-1774.66807487992,-1368.73984197382,-1211.55920545644,-1331.438919043,-1759.73834870256,-2531.20500066835,-3684.35557523159,-5261.90125940451,-7311.22254627214,-9884.89951516126,-13041.3042337394,-16845.2627610933,-21368.795151352,-26691.942893637,-32903.6943909119,-40103.0203944416,-48400.0327910766,-57917.2818089314,-68791.2085875602,-81173.7721789595,-95234.2724368192
"-2.6265",-77787.8853067432,-75796.6517810816,-73779.035374446,-71736.4263129748,-69670.2147183165,-67581.8017757414,-65472.610963374,-63344.0994629135,-61197.7698715551,-59035.1823358907,-56857.96723131,-54667.8385148038,-52466.6078851218,-50256.1998919688,-48038.6681454265,-45816.2127881271,-43591.1994060215,-41366.1795690125,-39143.913210448,-36927.3930746914,-34719.8714849671,-32524.889709678,-30346.3102347545,-28188.3522826722,-26055.6309559941,-23953.2004251245,-21886.6016269407,-19861.9149936952,-17885.818790742,-15965.6537079929,-14109.4944244259,-12326.2289484061,-10625.6466301477,-9018.53584755043,-7516.79248429549,-6133.54045101009,-4883.2656482859,-3781.96493631454,-2847.31186211717,-2098.84110428914,-1558.15382967576,-1249.14641961484,-1198.26531890692,-1434.79109254038,-1991.15514795808,-2903.29299944031,-4211.03842179004,-5958.56336948332,-8194.86913217308,-10974.3348662525,-14357.3303945158,-18410.9010124449,-23209.5329923452,-28836.0095490395,-35382.3682385147,-42950.9721211802,-51655.7085539386,-61623.3312023433,-72994.9628109384,-85927.7784649385,-100596.891552025
"-2.5931",-76491.223530184,-74508.5230850481,-72499.3579872928,-70465.168891712,-68407.3961071408,-66327.4911946926,-64226.9286209653,-62107.2175918827,-59969.9141919732,-57816.6339548406,-55649.0649932833,-53468.9818219436,-51278.2600115325,-49078.891821595,-46873.0029685473,-44662.8706973884,-42450.9433392224,-40239.8615526461,-38032.4814653581,-35831.8999532464,-33641.4823179527,-31464.8926508004,-29306.1272013286,-27169.551102882,-25059.9388462065,-22982.5189352621,-20943.0232080625,-18947.7413598944,-17003.5812674648,-15118.1357811696,-13299.7567296534,-11557.6369671521,-9901.90139089849,-8343.70796440258,-6895.35990412107,-5570.43032351309,-4383.90078155862,-3352.31535452648,-2493.95204242392,-1829.01353772405,-1379.83962657043,-1171.14376498455,-1230.27667835912,-1587.52017588556,-2276.41475725041,-3334.12502225999,-4801.84738101604,-6725.26510963935,-9155.0564119732,-12147.4618398313,-15764.918202945,-20076.7669758403,-25160.0461949043,-31100.3759489741,-37992.9488168396,-45943.6380131187,-55070.2375904321,-65503.8508337438,-77390.4449982551,-90892.5928148842,-106191.423750597
"-2.5598",-75194.1657039197,-73220.3083580294,-71219.9025191799,-69194.4411309957,-67145.416518032,-65074.3324323709,-62982.7161482999,-60872.1307362948,-58744.1876464462,-56600.5597322863,-54442.99484863,-52273.3301615053,-50093.5073145213,-47905.5886041375,-45711.774326322,-43514.42146911,-41316.0639397253,-39119.4345313546,-36927.4888535677,-34743.4314719627,-32570.7445271605,-30413.2191310635,-28274.9898696863,-26160.5727772406,-24074.9071859731,-22023.401901008,-20011.9861997105,-18047.1662115117,-16136.0872974389,-14286.6031196075,-12507.3521705614,-10807.8426216493,-9198.54644975166,-7691.00391394913,-6297.93957962915,-5033.39122871906,-3912.85315310171,-2953.43550591138,-2174.04158471139,-1595.56514419428,-1241.11008704251,-1136.23516334378,-1309.22662530671,-1791.40213929565,-2617.44965627687,-3825.80539014788,-5459.07555732015,-7564.50709735746,-10194.5132313573,-13407.2604310492,-17267.3241773782,-21846.4217940681,-27224.231662233,-33489.3092711207,-40740.1118540487,-49086.1448161968,-58649.2448032845,-69565.0161111853,-81984.4392232689,-96075.672615329,-112026.071622027
"-2.5265",-73896.759275174,-71932.0656643874,-69940.7375405645,-67924.3220695945,-65884.3654910638,-63822.4256322967,-61740.0844627968,-59638.9608261444,-57520.7234850785,-55387.1046161671,-53239.9138930656,-51081.0533018547,-48912.5328383344,-46736.4872454529,-44555.1939593486,-42371.0924448551,-40186.8051159069,-38005.1600532347,-35829.215751256,-33662.2881483684,-31507.9802202206,-29370.2144442657,-27253.2684763594,-25161.8144167529,-23100.962084005,-21076.306761633,-19093.9819343114,-17160.7175887975,-15283.9047202484,-13471.6667580508,-11732.9387076697,-10077.5548973965,-8516.34632246711,-7061.24869516821,-5725.42243980516,-4523.38601747454,-3471.16412942277,-2586.45253155621,-1888.8013988641,-1399.81940989486,-1143.40098111472,-1145.97937249714,-1436.8087130147,-2048.27836230867,-3016.26343774957,-4380.51580007403,-6185.10031222292,-8478.88177217817,-11316.0685797026,-14756.8199381955,-18867.9242268594,-23723.5571168545,-29406.1290614903,-36007.2329798754,-43628.7042929353,-52383.8069796572,-62398.5610217189,-73813.2285210774,-86783.9779356584,-101484.748314733,-118109.338163828
"-2.4931",-72599.0545809197,-70643.8563251719,-68661.9352408801,-66654.8947259114,-64624.3369078384,-62571.8756454019,-60499.1495618366,-58407.8352532391,-56299.6608135678,-54176.4198183741,-52039.9859118946,-49892.3281466464,-47735.5272311598,-45571.7928499791,-43403.4822306324,-41233.120145006,-39063.4205475942,-36897.3100705812,-34737.9536158655,-32588.7823071777,-30453.5240916545,-28336.2373099368,-26241.347587417,-24173.6884370981,-22138.5460071137,-20141.708453839,-18189.5204753067,-16288.9436000153,-14447.6228939646,-12673.9608247438,-10977.1991067207,-9367.50944695035,-7856.09421858106,-6455.29820870265,-5178.73272233001,-4041.41347533891,-3059.91387867091,-2252.53550626705,-1639.49775252229,-1243.14892444482,-1088.20128239258,-1201.99284488909,-1614.77911170478,-2360.05823976476,-3474.93363374088,-5000.51839330815,-6982.38659865561,-9471.07702246341,-12522.6555386861,-16199.3432657162,-20570.2183446888,-25712.0002250788,-31709.9264232112,-38658.7329504965,-46663.7509948722,-55842.1340010913,-66324.2310558568,-78255.1244680084,-91796.3516710744,-107127.834098396,-124450.038526948
"-2.4598",-71301.1050773619,-69355.7451588308,-67383.5716804566,-65386.2463612131,-63365.4292662346,-61322.7923166105,-59260.0328215869,-57178.8871827837,-55081.1449181598,-52968.6631537856,-50843.3817339381,-48707.3391045556,-46562.6891316862,-44411.7190252542,-42256.8685493169,-40100.7507130884,-37946.1741524965,-35796.1674300873,-33654.0055018883,-31523.2386236519,-29407.7239959837,-27311.6604785704,-25239.6267384175,-23196.6232361376,-21188.118498373,-19220.1001739646,-17299.1314271085,-15432.4132832007,-13627.8536131468,-11894.1435205319,-10240.8419842066,-8678.46970771627,-7218.61323786423,-5874.04053901428,-4658.82934914988,-3588.50980005299,-2680.22295933256,-1952.89714875639,-1427.44411406184,-1126.97736911014,-1077.05531525615,-1305.95204890512,-1844.95912067829,-2728.72190321003,-3995.61466676933,-5688.15895874932,-7853.49044150122,-10543.8799707962,-13817.3154031778,-17738.1514145655,-22377.8355059155,-27815.7193772448,-34139.9659832301,-41448.5638581412,-49850.4617334248,-59466.8380885868,-70432.5220986324,-82897.5844958104,-97029.1191798814,-113013.239023652,-131057.312267724
"-2.4265",-70002.9675891175,-68067.8007417129,-66105.7270623638,-64118.4687629484,-62107.7459754446,-60075.2907919442,-58022.8613166321,-55952.2558860898,-53865.3276120924,-51763.9994012024,-49650.2796078206,-47526.2784818849,-45394.2255791064,-43256.4883105112,-41115.591819189,-38974.2403856333,-36835.3405790136,-34702.0263903396,-32577.6866049509,-30465.994696355,-28370.9415514295,-26296.8713687496,-24248.5211076724,-22231.0639062778,-20250.1569318187,-18311.9941785572,-16423.364785411,-14591.7175104433,-12825.232071723,-11132.8981454113,-9524.60290313995,-8011.22807302898,-6604.75762338911,-5318.39729676694,-4166.70736622369,-3165.75014749584,-2333.25398212364,-1688.79561017214,-1254.00307954275,-1052.7815951529,-1111.56499892026,-1459.59589442979,-2129.23779279795,-3156.3230635496,-4580.54093189768,-6445.87027799723,-8801.06257167711,-11700.1809259092,-15203.2019829673,-19376.6881691605,-24294.5387788323,-30038.8293891593,-36700.750279035,-44381.6558448016,-53194.2384918357,-63263.8421555127,-74729.9324922282,-87747.7429085155,-102490.117995056,-119149.578637861,-137940.636131138
