"quantity","analysis","median","lo","hi"
"survival_80","profile",0.430267004195211,0.285592150604793,0.600765801508213
"survival_80","recapture",0.313046510035489,0.30633879170281,0.320347459420468
"survival_80","integrated",0.311897282558787,0.304775843341066,0.318645093572042
"survival_110","profile",0.446522366998046,0.34661181456307,0.552599743141137
"survival_110","recapture",0.202072344394142,0.194884701731206,0.209782466743558
"survival_110","integrated",0.195389083442369,0.188006836651287,0.202646579972991
"survival_140","profile",0.461868673411804,0.342521040114298,0.584127504824305
"survival_140","recapture",0.123423177863578,0.115174947832443,0.13211926401673
"survival_140","integrated",0.115100459909185,0.107000892189654,0.123330022429421
"growth_increment_80","profile",12.5590469092382,9.28602385745347,15.566861640446
"growth_increment_80","recapture",32.2722832776232,31.6739850043892,32.8279756691912
"growth_increment_80","integrated",32.0776787316026,31.5356150282044,32.6854381445766
"recruitment_80","profile",0.000138405096785201,2.28098257916467e-05,0.000873025460547423
"recruitment_80","integrated",0.000155646244299169,2.42283872142109e-05,0.00106210708175912
"lambda","profile",0.990389245034613,0.9675140901496,1.11421998116072
"lambda","integrated",1.01645978903955,1.00243467622959,1.05190434526763
