"size","observed","stable_q025","stable_med","stable_q975"
70,0.0413195565363976,0.0207612009012373,0.0258562944411223,0.0342549659232986
75,0.0170031813988513,0.0270621398992124,0.0325908746534191,0.0404571539793716
80,0.0189708962212721,0.0323043539393202,0.0398723493203705,0.0480662518509703
85,0.032761293783569,0.0414258114348807,0.047703979108282,0.056398320715158
90,0.0446501601972641,0.049668284752681,0.0546688689569006,0.0639183025483775
95,0.0616339152369722,0.0561880555371228,0.060708729630949,0.0705157414912886
100,0.0634977534364614,0.0612174138415141,0.0659719503994168,0.0754106832170413
105,0.0680806454316619,0.063917607967551,0.0698414544505372,0.0778510543847069
110,0.074830439894493,0.0646937550420002,0.0715141613995763,0.0780523982901461
115,0.0748763061793426,0.0636429793689372,0.070722439841671,0.0780371771892559
120,0.0755309505823549,0.0603176059702616,0.0677125471914053,0.0782394884821773
125,0.0710792264695536,0.0537567875532831,0.0633568624922848,0.0732924722087166
130,0.058944893167818,0.0460111099861249,0.0574930427423457,0.0649360796487005
135,0.0541103842321853,0.0385688845440389,0.050865762270753,0.0562261913402868
140,0.0463425094531819,0.0319646106152913,0.0440014589934967,0.0484721594459629
145,0.0378776008719023,0.0264903005773368,0.0372624557601818,0.0412462556957658
150,0.0287752575711904,0.0222240420815137,0.0309759932945624,0.0344585753274168
155,0.029132585501745,0.0189559799274896,0.0251261594216219,0.0285561770020075
160,0.0214897595059954,0.0165215980590355,0.0201906655358307,0.0233973937290314
165,0.012847671155883,0.0138357564527726,0.0161267536188577,0.0200966868354368
170,0.0169816152036525,0.0106635754934282,0.0126857807201654,0.0177568645974846
175,0.0101614903323018,0.00801402065664444,0.00979524044484629,0.0151674687783823
180,0.00794067913307229,0.00591501931871001,0.00743129292451587,0.0123716642191107
185,0.00644053047688748,0.00430564393260847,0.00557303310394033,0.00949801856647219
190,0.00625279118199964,0.0030830702651069,0.00414289636242569,0.00696257104769634
195,0.00562393722153307,0.00220779814071449,0.00304685748135504,0.00492075172918046
200,0.00334795708819629,0.00156897749845033,0.00222558555121058,0.00336624392409052
205,0.00241085503987114,0.00113186025453337,0.00160602069610424,0.00229188996289172
210,0.00293907275414874,0.000827520114987836,0.00112755834553196,0.00157233980057142
215,0.00133082686547712,0.000595046670618041,0.000801138562844791,0.00112121884447791
220,0.00137076070589067,0.00041659970613967,0.000585087654329415,0.000858129507535974
225,0.00144449716887406,0.00024784466393868,0.000394820975033474,0.00063048876838083
