"quantity","posterior_mean","posterior_sd","q025","q500","q975"
"survival_80",0.432860737325887,0.0809666967207615,0.285592150604793,0.430267004195211,0.600765801508213
"survival_110",0.446572310213211,0.0537436240123297,0.34661181456307,0.446522366998046,0.552599743141137
"survival_140",0.461455544440088,0.0602578643059761,0.342521040114298,0.461868673411804,0.584127504824305
"growth_increment_80",12.5157201930009,1.61417858731784,9.28602385745347,12.5590469092382,15.566861640446
"growth_increment_110",5.55777832191762,1.08026373457559,3.41405726942795,5.55189644835565,7.76928917719217
"growth_increment_140",0.130770157908936,0.411653139013794,0,0,1.50536340963722
"growth_sd.log_growth_sd",1.9088191410074,0.849517749458354,0.753350324372212,1.75854098515502,4.00045753394159
"recruitment_80",0.00021818513310786,0.000250122004828716,2.28098257916467e-05,0.000138405096785201,0.000873025460547423
"recruitment_110",0.00344670622314132,0.0028355684397861,0.000647384155536823,0.00261232350507543,0.0109966356737798
"recruitment_140",0.056919265678381,0.0314419746258986,0.0182112004194105,0.0495427312989888,0.137207173480292
"recruit_mean_80",78.4539814661871,7.54744384627036,64.5783681350808,77.9986405187914,92.9754538067512
"recruit_mean_110",83.2318035356432,5.89108114890213,72.1395999702099,83.089266571745,94.5763627607687
"recruit_mean_140",88.0096256050994,4.49347251737403,79.617280446689,87.9982089194762,96.8313796151684
"recruit_sd.log_recruit_sd",38.9636735014891,2.05298871318053,35.0596588366492,38.8810195161091,43.1814513474216
"lambda",1.00146878927935,0.0405092632337915,0.9675140901496,0.990389245034613,1.11421998116072
