"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_mean","prior_sd","contraction","rhat","ess"
"survival_at_80",0.36,0.364832969526314,0.0573379699599299,0.26040639343793,0.366013719386485,0.489183204418975,TRUE,0.0842891635279609,0.405465108108164,1.5,0.96177468669338,1.05830628795503,124.272691426114
"survival_slope_20",0.64,0.619044204506629,0.0383632193962692,0.54835653292631,0.617862720792385,0.700054970730608,TRUE,-0.546247051815708,0.5,1,0.961636780603731,1.04897164031725,128.548345265701
"growth_increment_80",8.4,8.43316401313698,0.158272842701134,8.11790823885527,8.44144738885694,8.7142146317927,TRUE,0.209536977860455,8,6,0.973621192883144,1.04364964518549,80.9726201016518
"growth_slope_20",-2.4,-2.38378080388639,0.0733794831466414,-2.53588125481058,-2.38087996839616,-2.23045984723556,TRUE,0.221031757353786,-2,3,0.975540172284453,1.03536057495428,73.688748396958
"log_growth_sd",1.50407739677627,1.43567537841412,0.0397903585420009,1.36133725846332,1.43443021883307,1.51629648848284,TRUE,-1.71906011578045,1.6094379124341,0.7,0.943156630654284,1.02070717823721,88.3986415177595
"log_recruitment_at_80",-1.69314718055995,-1.60152494393652,0.0678687892489369,-1.72342049523789,-1.60230661791431,-1.47185855200817,TRUE,1.34999073414084,-1.6094379124341,1.5,0.954754140500709,1.01850324923637,84.4712228146236
"recruitment_slope_20",1.5,1.45532056307566,0.0256052588941961,1.40775852946935,1.45578080591518,1.50172274562242,TRUE,-1.74493205122285,1,1,0.974394741105804,1.01343838505293,92.0572497845124
"recruit_mean_80",44.6,44.4231029014431,0.277685469637998,43.9092796943222,44.4025646012474,45.0161683652451,TRUE,-0.637041249538563,45,10,0.9722314530362,1.10345867965759,54.940976979102
"recruit_mean_slope_20",0.4,0.44469546879483,0.0982002756846772,0.236330953439111,0.447650345726557,0.637881778100962,TRUE,0.455146062301779,0,2,0.950899862157661,1.10180124513124,53.6551607751636
"log_recruit_sd",1.25276296849537,1.23305649863784,0.0119950068406512,1.2107741509992,1.2329108356009,1.25694868965507,TRUE,-1.64288942218351,1.38629436111989,0.7,0.982864275941927,1.06244347259067,71.3639828496066
"log_state_fano",NA,1.11025197781225,0.169987944666779,0.780139624326262,1.10812883092146,1.44777311970882,NA,NA,0,1,0.830012055333222,1.00780161296574,223.503062675195
