"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
"survival_50",0.354343693774205,0.362739722947983,0.00963737961357057,0.342715484821708,0.364025926252557,0.379829748898965,TRUE,0.871194194940256
"survival_80",0.589040434058665,0.590137620402925,0.0138425694813958,0.56473618968613,0.590495402395391,0.619913997309845,TRUE,0.0792617545271794
"survival_110",0.789181706522253,0.784172988093451,0.0180179762148925,0.748048971155169,0.783944413794925,0.820724510563708,TRUE,-0.277984517743004
"growth_increment_50",12,12.0088352189668,0.226544003953025,11.550310920394,12.0077495480769,12.4580213008954,TRUE,0.0390000124152001
"growth_increment_80",8.4,8.43316401313698,0.158272842701134,8.11790823885527,8.44144738885694,8.7142146317927,TRUE,0.209536977860455
"growth_increment_110",4.8,4.85749280730743,0.151686743676678,4.53284636153592,4.86268610344425,5.16566450350897,TRUE,0.379023281230001
"growth_sd.log_growth_sd",4.5,4.20581572798218,0.167838805002197,3.90140720726422,4.19725281173327,4.55532322411402,TRUE,-1.75277863789587
"recruitment_50",0.019387103915861,0.0228472373877874,0.00242039085676937,0.0187729661115096,0.0225926902282691,0.0277366447460658,TRUE,1.42957632741384
"recruitment_80",0.183939720585721,0.202054003928354,0.0137391166721098,0.178454699329927,0.201431356550512,0.229498553574697,TRUE,1.31844599437781
"recruitment_110",1.74517147873092,1.78954629927634,0.0569897003078175,1.69154902318396,1.78552350729757,1.89960566836702,TRUE,0.778646322155339
"recruit_mean_50",44,43.7560596982506,0.42164587594564,42.9532678200705,43.7360360517028,44.6620910284092,TRUE,-0.578543075281641
"recruit_mean_80",44.6,44.4231029014431,0.277685469637998,43.9092796943222,44.4025646012474,45.0161683652451,TRUE,-0.637041249538563
"recruit_mean_110",45.2,45.0901461046356,0.140811998937043,44.8270832551405,45.0796940765345,45.3876441555015,TRUE,-0.780145841218379
"recruit_sd.log_recruit_sd",3.5,3.4319494260219,0.0411837683964487,3.35608176119103,3.43120268107335,3.51468072734031,TRUE,-1.65236394404288
"lambda",1.03175380246278,1.02751444423489,0.0163298166056819,0.997463579677877,1.02782924119611,1.05965937558502,TRUE,-0.259608440820643
