"log_likelihood"
-899.351876588124
-903.393797268624
-898.252506619366
-899.729966221771
-903.857422094715
-901.09254694567
-899.316117122201
-905.704878821589
-906.171892089483
-906.097511622694
-904.019760212045
-902.704181481797
-898.588009435548
-905.38567016719
-907.132819947621
-900.565105285144
-902.840761547088
-904.749431082454
-901.686047173095
-903.6036058289
