"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_mean","prior_sd","contraction"
"survival_at_80",0.36,0.376244280132836,0.0623391693890948,0.292340613273605,0.368278025825826,0.51409235646463,TRUE,0.260579027472221,0.405465108108164,1.5,0.958440553740603
"survival_slope_20",0.64,0.626112527064673,0.0359664858267643,0.556542671668782,0.623486760176738,0.69430682275825,TRUE,-0.386122597637626,0.5,1,0.964033514173236
"growth_increment_80",8.4,8.43958399089854,0.13117421513191,8.18589589012806,8.42984667480925,8.71151938189595,TRUE,0.301766554186956,8,6,0.978137630811348
"growth_slope_20",-2.4,-2.36906315097122,0.0766834963067076,-2.50810547589944,-2.3537569317202,-2.24522966536169,TRUE,0.403435556785876,-2,3,0.974438834564431
"log_growth_sd",1.50407739677627,1.42839953271847,0.0385276839898166,1.36250237069722,1.42797246291972,1.50759296003731,TRUE,-1.96424638651539,1.6094379124341,0.7,0.944960451443119
"log_recruitment_at_80",-1.69314718055995,-1.5921468331277,0.0613875674508268,-1.69824509873957,-1.58701641018966,-1.48219562529852,TRUE,1.64528994430593,-1.6094379124341,1.5,0.959074955032782
"recruitment_slope_20",1.5,1.45196785123517,0.0213713155767519,1.41084793775268,1.44965053007546,1.49121059926308,FALSE,-2.24750547491249,1,1,0.978628684423248
"recruit_mean_80",44.6,44.5623111436132,0.208879800076174,44.1027543063316,44.560367746255,44.9469000201106,TRUE,-0.180433227018939,45,10,0.979112019992383
"recruit_mean_slope_20",0.4,0.398638347829987,0.0793173995032642,0.241812885086746,0.404306285812698,0.565141393726992,TRUE,-0.0171671307751006,0,2,0.960341300248368
"log_recruit_sd",1.25276296849537,1.23535044991156,0.00971752402064111,1.21398021228527,1.23636532585902,1.25322229936545,TRUE,-1.79186782011743,1.38629436111989,0.7,0.986117822827656
"log_state_fano",NA,1.06522787967823,0.150206423960255,0.787525614320546,1.05381373136855,1.32107770237391,NA,NA,0,1,0.849793576039745
