"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
"survival_50",0.354343693774205,0.362925503997418,0.0096544816384844,0.350011479746945,0.360525023246718,0.381922948175757,TRUE,0.888893940095692
"survival_80",0.589040434058665,0.5928767947629,0.0149708657010302,0.572569057006141,0.59104282332621,0.625765103001101,TRUE,0.256255101130902
"survival_110",0.789181706522253,0.787848828281922,0.017904200118444,0.762440485111669,0.787512684177942,0.824387880042151,TRUE,-0.0744450034915212
"growth_increment_50",12,11.9931787173554,0.197311415813423,11.6140020366714,12.0102070107158,12.3550001503414,TRUE,-0.0345711504655139
"growth_increment_80",8.4,8.43958399089854,0.13117421513191,8.18589589012806,8.42984667480925,8.71151938189595,TRUE,0.301766554186956
"growth_increment_110",4.8,4.88598926444161,0.148132266393388,4.65377202809006,4.894061711481,5.15178930870852,TRUE,0.580489764554446
"growth_sd.log_growth_sd",4.5,4.17512099993087,0.161590849749537,3.9059552306327,4.17023530768336,4.51584787545678,TRUE,-2.01050369233585
"recruitment_50",0.019387103915861,0.0231486896824375,0.00213820100241637,0.0195445071224184,0.0232992566721663,0.0272366832722793,FALSE,1.75922925970271
"recruitment_80",0.183939720585721,0.203871008781812,0.0124811557706405,0.183004397067234,0.204534950668149,0.227138429609467,TRUE,1.59691045944442
"recruitment_110",1.74517147873092,1.79732997183544,0.056641126256833,1.68860843805365,1.79910865999111,1.89352211759367,TRUE,0.920859039207824
"recruit_mean_50",44,43.9643536218687,0.322772799577994,43.2562117835144,43.9455077546283,44.5828133249674,TRUE,-0.110437986651564
"recruit_mean_80",44.6,44.5623111436132,0.208879800076174,44.1027543063316,44.560367746255,44.9469000201106,TRUE,-0.180433227018939
"recruit_mean_110",45.2,45.1602686653583,0.106723408866716,44.9364065806033,45.1553623471871,45.3574066184806,TRUE,-0.372283223180468
"recruit_sd.log_recruit_sd",3.5,3.43974580136418,0.0333632252303789,3.36685883174148,3.44307623403753,3.5016080273253,TRUE,-1.80600641034419
"lambda",1.03175380246278,1.03159801964402,0.0186161186070086,0.99986049942725,1.03478530781715,1.06537455205308,TRUE,-0.00836816857748698
