"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
"survival_50",0.354343693774205,0.345131774791531,0.0137252744625895,0.315894619509163,0.344572620610597,0.377691085306235,TRUE,-0.671164646490802
"survival_80",0.589040434058665,0.572269166433986,0.00822493960257377,0.554770821254759,0.572225339858983,0.588557973964986,FALSE,-2.0390748668149
"survival_110",0.789181706522253,0.772585948127049,0.00752313744792013,0.758903051785942,0.772595875083967,0.785163579242287,FALSE,-2.20596240731881
"growth_increment_50",12,12.459699159518,0.147868272397219,12.2850749386176,12.4311244568666,12.7397717908499,FALSE,3.10884243161414
"growth_increment_80",8.4,8.59305751408906,0.0924637335021917,8.46866806287077,8.57520072635436,8.79148031968818,FALSE,2.08792687442681
"growth_increment_110",4.8,4.72641586866023,0.0649776396990737,4.63229584924587,4.71236925342422,4.84318884852647,TRUE,-1.13245312819238
"growth_sd.log_growth_sd",4.5,4.55759958823574,0.213240727221943,4.23193171693057,4.50004056170837,4.99966707815311,TRUE,0.270115324526094
"recruitment_50",0.019387103915861,0.0203476333598214,0.00235635189636521,0.01661465714566,0.0197117811849054,0.0236864940483045,TRUE,0.40763412520942
"recruitment_80",0.183939720585721,0.192519392570865,0.0124921388263604,0.173162124493748,0.191722232574448,0.212729204508908,TRUE,0.686805686712336
"recruitment_110",1.74517147873092,1.82646130905018,0.0458916761498087,1.74358073277656,1.82580955697441,1.92439975426798,TRUE,1.77134149674332
"recruit_mean_50",44,43.3868181818717,0.467778877545241,42.5806866669387,43.3586884674585,44.2439792153445,TRUE,-1.3108369094091
"recruit_mean_80",44.6,44.3215821623962,0.25691159450621,43.8536242118107,44.3425031044778,44.7453865384973,TRUE,-1.0837106754133
"recruit_mean_110",45.2,45.2563461429208,0.0701612752167745,45.1265617566827,45.2574201179258,45.4092628704793,TRUE,0.803094623732414
"recruit_sd.log_recruit_sd",3.5,3.5739149774102,0.0585907529030689,3.44229625164956,3.57994268935509,3.65748553214663,TRUE,1.26154680982648
"lambda",1.03175380246278,1.0185599686215,0.00731356287147385,1.00721048351295,1.01676634945918,1.03278721102278,TRUE,-1.80402275513881
