"log_likelihood"
-600.60802970322
-600.49405847067
-600.534235014558
-601.791883174045
-599.663604218321
-600.141879605788
-600.028298869969
-602.010062609736
-601.089098134064
-598.504585667996
-602.288056275478
-602.130035298775
-600.032934520229
-601.048512352858
-600.737490633479
-601.430265844939
-598.924162779959
-601.985145070694
-600.426926503917
-600.735774247413
