"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
"survival_50",0.354343693774205,0.354768211369497,0.0174819326227956,0.321371993053243,0.354096949226787,0.388490249882058,TRUE,0.0242832188209716
"survival_80",0.589040434058665,0.578731703445212,0.0109750428668071,0.553957461732949,0.579185074844392,0.599117025206239,TRUE,-0.939288414501817
"survival_110",0.789181706522253,0.774394913666745,0.0112993059307542,0.752054436670362,0.775574479532362,0.796021299387568,TRUE,-1.30864611916219
"growth_increment_50",12,12.160122043512,0.303931813533982,11.6796091624058,12.1412640259865,12.7042870920615,TRUE,0.526835416306622
"growth_increment_80",8.4,8.50155587839101,0.176764385979827,8.21575794880559,8.51030246311499,8.86314615380765,TRUE,0.574526807694143
"growth_increment_110",4.8,4.84298971327019,0.135032896692693,4.58939509113182,4.84311385746062,5.08405837123395,TRUE,0.31836474165273
"growth_sd.log_growth_sd",4.5,4.64930873719594,0.261721464824615,4.10807596676155,4.63464863874755,5.2712459040938,TRUE,0.570487167707084
"recruitment_50",0.019387103915861,0.0181954304902575,0.00274714615598593,0.0133154581439334,0.0181711511182658,0.022907576015562,TRUE,-0.433785957476976
"recruitment_80",0.183939720585721,0.179158975116945,0.0161291414139099,0.147878704141342,0.178525237615181,0.20686427214248,TRUE,-0.296404213100447
"recruitment_110",1.74517147873092,1.77149961630124,0.0663673704286056,1.64231008067011,1.7737478622658,1.88300305252772,TRUE,0.396703039464888
"recruit_mean_50",44,43.6915481925234,0.705433569627492,42.5464236042026,43.680745360651,44.9467761371562,TRUE,-0.437251388021506
"recruit_mean_80",44.6,44.4825961046353,0.403812478021847,43.7910601336506,44.4406147243398,45.2181024615333,TRUE,-0.290738651613261
"recruit_mean_110",45.2,45.2736440167476,0.148794081871791,45.0021314166461,45.2632772765236,45.5848527151525,TRUE,0.494939152291394
"recruit_sd.log_recruit_sd",3.5,3.54631634783617,0.0735446893174459,3.40433341509741,3.54482050102246,3.68323721260674,TRUE,0.629771479980696
"lambda",1.03175380246278,1.02612945745304,0.0104163694809,1.00457343761354,1.02591176006387,1.04453667052854,TRUE,-0.539952525691089
